time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-01-02 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-02 19:00:00-05:00,buy,fill,167.0,TSLA,stock,,0.0,,244.97999572753903,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-03 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-03 19:00:00-05:00,buy,fill,164.0,TSLA,stock,,0.0,,239.25,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-04 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-04 19:00:00-05:00,buy,fill,161.0,TSLA,stock,,0.0,,236.8600006103516,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-07 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-07 19:00:00-05:00,buy,fill,156.0,TSLA,stock,,0.0,,236.13999938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-08 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-08 19:00:00-05:00,buy,fill,156.0,TSLA,stock,,0.0,,238.1100006103516,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-09 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-09 19:00:00-05:00,buy,fill,154.0,TSLA,stock,,0.0,,235.1000061035156,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-10 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-10 19:00:00-05:00,buy,fill,154.0,TSLA,stock,,0.0,,230.57000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-11 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-11 19:00:00-05:00,buy,fill,156.0,TSLA,stock,,0.0,,220.0800018310547,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-15 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-15 19:00:00-05:00,buy,fill,152.0,TSLA,stock,,0.0,,215.1000061035156,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-16 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-16 19:00:00-05:00,buy,fill,152.0,TSLA,stock,,0.0,,214.8600006103516,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-17 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-17 19:00:00-05:00,buy,fill,151.0,TSLA,stock,,0.0,,216.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-18 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-18 19:00:00-05:00,buy,fill,148.0,TSLA,stock,,0.0,,209.9900054931641,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-21 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-21 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-21 19:00:00-05:00,buy,fill,147.0,TSLA,stock,,0.0,,212.25999450683597,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-21 19:00:00-05:00,buy,fill,735.0,TSLA,stock,,0.0,,212.25999450683597,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-22 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-22 19:00:00-05:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-01-22 19:00:00-05:00,buy,fill,128.0,TSLA,stock,,0.0,,211.3000030517578,market,1,0.0,0.0,trade,,,,,,,,,,,,
2024-01-22 19:00:00-05:00,buy,fill,643.0,TSLA,stock,,0.0,,211.3000030517578,market,1,0.0,0.0,trade,,,,,,,,,,,,
