retrain,ret_1h,volatility_12h,bb_pct_b,momentum_rank,rsi_7,dist_sma10,volatility_rank,bb_lower_dist,rsi_14,corr_spy,dist_sma20,ret_24h,range,ret_4h,volume_ratio,bb_bandwidth,bb_upper_dist,corr_btc,atr_14_norm,volatility_24h,volume_spike,ret_12h,dist_ema12,obv_slope,roc_12,vwap_deviation,macd_histogram,dist_ema26
1,0.13174163,0.07240236,0.06409493,0.060490645,0.046245918,0.040012795,0.039218768,0.035373524,0.034597673,0.034581766,0.034162853,0.034021236,0.033561271,0.032131385,0.031466734,,,,,,,,,,,,,
2,0.15179062,0.09704516,0.06307994,0.044586394,0.031615496,0.036453713,0.029424926,0.054028258,,0.033483718,,0.03044145,0.033197805,0.034320138,,0.041286908,0.036603708,0.030575767,,,,,,,,,,
3,0.15179062,0.09704516,0.06307994,0.044586394,0.031615496,0.036453713,0.029424926,0.054028258,,0.033483718,,0.03044145,0.033197805,0.034320138,,0.041286908,0.036603708,0.030575767,,,,,,,,,,
4,0.14497624,0.08445807,0.03425744,0.049326226,0.029738894,0.04614434,0.031879794,0.041753355,0.034029316,,0.031468898,,,0.034876782,,0.05343768,0.046192389,0.029579112,0.028568409,,,,,,,,,
5,0.14497624,0.08445807,0.03425744,0.049326226,0.029738894,0.04614434,0.031879794,0.041753355,0.034029316,,0.031468898,,,0.034876782,,0.05343768,0.046192389,0.029579112,0.028568409,,,,,,,,,
6,0.14497624,0.08445807,0.03425744,0.049326226,0.029738894,0.04614434,0.031879794,0.041753355,0.034029316,,0.031468898,,,0.034876782,,0.05343768,0.046192389,0.029579112,0.028568409,,,,,,,,,
7,0.16014527,0.10972631,0.025704494,,0.02751215,,0.034873255,0.026176799,0.033502463,,0.035977658,,0.028765509,0.034547411,,0.061907008,0.055569619,0.025122246,0.026560012,0.029909618,,,,,,,,
8,0.16482075,0.10422091,0.032083984,,,0.026092106,,,0.027638998,,0.028291723,,0.027551403,,0.026460763,0.058544874,0.05483916,,,0.028374165,0.042415589,0.034646273,0.02631958,0.025978858,,,,
9,0.15016192,0.08964189,0.028082348,0.023502724,0.028792188,0.030757565,0.022781316,0.04044902,0.038960058,,,,0.022111515,0.027296456,,0.037553303,0.036830746,,,,,,,0.024186118,0.153439537,,,
10,0.14429265,0.08495503,0.027689287,0.022934435,0.041568015,0.033419959,0.021848135,0.028027305,0.03666608,0.022710903,,,0.023872694,,,0.042671669,0.03193859,,,,,0.038823318,,,0.15743567,,,
11,0.16319841,0.108591564,0.029897435,,0.032966476,0.047117788,,0.031783264,0.035911273,0.024924997,,,0.023179971,0.023625569,,0.033053394,0.036711622,,,,,0.026324922,,,0.091526955,0.029690694,,
12,0.16319841,0.108591564,0.029897435,,0.032966476,0.047117788,,0.031783264,0.035911273,0.024924997,,,0.023179971,0.023625569,,0.033053394,0.036711622,,,,,0.026324922,,,0.091526955,0.029690694,,
13,0.14686355,0.087863006,0.027020097,,,0.040261406,,0.03325044,0.036274187,0.0199464,0.023087036,,0.020241227,,,0.027295016,0.031208443,,,,0.023228427,0.021647513,,,0.197846964,0.023707787,,
14,0.14370413,0.09264148,0.024749964,,0.032568149,0.03724042,,0.02371935,0.032219499,,,0.018090198,0.019943431,0.020495903,,0.024173161,0.024940267,,,,,0.016614243,,,0.253509223,0.022043478,,
15,0.18410318,0.11420705,0.030154292,,0.023517936,0.036312103,,0.03684517,0.031919606,,,,0.024408717,0.02436145,0.022634,0.031614892,0.03660135,,,,,0.030030774,,,0.091127954,0.024489373,,
16,0.2094536,0.12681587,0.03321297,,0.023037449,0.039967943,,0.033920757,0.037630182,,,0.023463484,0.027111949,0.024452038,0.025008362,0.0358437,0.042948026,,,,,0.025051858,,,,0.030165851,,
17,0.2223522,0.13210525,0.033675052,,,0.025054321,,0.033829976,0.034800548,,,0.024948178,0.027141763,0.021958783,0.028315432,0.037112154,0.037602685,,,,,0.028286401,,,,0.026312942,0.021919401,
18,0.21344909,0.13198888,0.03461759,,,0.031125816,,0.034395713,0.035510726,,0.022762049,0.025211727,0.024057016,,0.026286773,0.032109048,0.035147283,,,,,0.024499165,,,0.034106202,0.024468826,,
19,0.21344909,0.13198888,0.03461759,,,0.031125816,,0.034395713,0.035510726,,0.022762049,0.025211727,0.024057016,,0.026286773,0.032109048,0.035147283,,,,,0.024499165,,,0.034106202,0.024468826,,
20,0.21090169,0.12874922,0.030208975,,0.037182093,0.027316138,,0.032287028,0.030512929,,,0.023452371,0.022863973,,0.024032779,0.032444585,0.033463236,,,,,0.021893468,,0.026110297,0.055486638,,,
