retrain,ret_1h,volatility_12h,bb_bandwidth,dist_sma10,momentum_rank,rsi_14,bb_pct_b,range,roc_12,ret_12h,bb_lower_dist,obv_slope,bb_upper_dist,macd_signal,rsi_7,adx_14,macd_line,tema7_sma50_dist,dema9_sma50_dist,volume_ratio
1,0.18170783,0.08939938,0.07593153,0.070193686,0.06814104,0.055636395,0.05483074,0.043788034,0.038693316,0.036633424,0.036457334,0.03544577,0.03288517,0.030098632,0.029737283,,,,,
2,0.20252325,0.10822611,0.07759512,0.067800164,0.048549306,0.06892441,0.051611852,0.043655936,0.030381462,0.050583016,0.04633651,0.027835593,0.033188224,0.028045453,,0.024455491,,,,
3,0.20252325,0.10822611,0.07759512,0.067800164,0.048549306,0.06892441,0.051611852,0.043655936,0.030381462,0.050583016,0.04633651,0.027835593,0.033188224,0.028045453,,0.024455491,,,,
4,0.19942364,0.07106859,0.08892934,0.066708185,0.06350536,0.040791128,0.055417888,0.032280557,0.041769784,0.050821397,0.04038256,0.02951502,0.041046,,,,0.033255368,0.027837429,,
5,0.19942364,0.07106859,0.08892934,0.066708185,0.06350536,0.040791128,0.055417888,0.032280557,0.041769784,0.050821397,0.04038256,0.02951502,0.041046,,,,0.033255368,0.027837429,,
6,0.19942364,0.07106859,0.08892934,0.066708185,0.06350536,0.040791128,0.055417888,0.032280557,0.041769784,0.050821397,0.04038256,0.02951502,0.041046,,,,0.033255368,0.027837429,,
7,0.21550594,0.09708478,0.08956306,0.076978356,0.040315352,0.043727297,0.052249983,0.03737566,,0.041857388,0.037080374,0.035446517,0.040635366,,,0.024742108,0.025378074,,0.028661754,
8,0.22718692,0.121323675,0.08109342,0.035239603,0.033091236,0.03306665,0.056131527,0.032304127,0.0292676,0.033899296,0.051736407,0.034900982,0.04097745,,0.038293228,,,,0.028536165,
9,0.21468522,0.11062471,0.06453035,0.053331129,0.033283103,0.054416794,0.04001427,0.02952799,0.048822507,0.045191966,0.034784213,0.03105438,0.038935013,,0.066796273,,,,,0.026725775
10,0.21468522,0.11062471,0.06453035,0.053331129,0.033283103,0.054416794,0.04001427,0.02952799,0.048822507,0.045191966,0.034784213,0.03105438,0.038935013,,0.066796273,,,,,0.026725775
11,0.21468522,0.11062471,0.06453035,0.053331129,0.033283103,0.054416794,0.04001427,0.02952799,0.048822507,0.045191966,0.034784213,0.03105438,0.038935013,,0.066796273,,,,,0.026725775
12,0.21468522,0.11062471,0.06453035,0.053331129,0.033283103,0.054416794,0.04001427,0.02952799,0.048822507,0.045191966,0.034784213,0.03105438,0.038935013,,0.066796273,,,,,0.026725775
13,0.2172156,0.11180174,0.06785428,0.055835795,0.03301897,0.05068396,0.04229213,0.030824753,0.023666598,0.04574045,0.03368988,0.032513674,0.04198373,,0.075838514,,,,,0.026468717
14,0.23480706,0.118407056,0.07103652,0.050993349,0.03644201,0.043955956,0.037816018,0.03272978,0.036599454,0.04609253,0.039012853,0.03537172,0.036875382,,0.048354242,0.025087645,,,,
15,0.22150214,0.111725174,0.0833618,0.043710299,0.027800342,0.048426736,0.040258,0.028471373,0.056180503,0.05557295,0.03996772,0.027731305,0.045025118,0.028233821,0.030167492,,,,,
16,0.23880458,0.119390525,0.079411365,0.045230988,0.026076619,0.050219487,0.03938229,0.029318556,0.041685201,0.059245322,0.036573805,0.030047465,0.038429994,,0.02885583,,,0.027546477,,
17,0.23880458,0.119390525,0.079411365,0.045230988,0.026076619,0.050219487,0.03938229,0.029318556,0.041685201,0.059245322,0.036573805,0.030047465,0.038429994,,0.02885583,,,0.027546477,,
18,0.23880458,0.119390525,0.079411365,0.045230988,0.026076619,0.050219487,0.03938229,0.029318556,0.041685201,0.059245322,0.036573805,0.030047465,0.038429994,,0.02885583,,,0.027546477,,
19,0.23880458,0.119390525,0.079411365,0.045230988,0.026076619,0.050219487,0.03938229,0.029318556,0.041685201,0.059245322,0.036573805,0.030047465,0.038429994,,0.02885583,,,0.027546477,,
20,0.2594845,0.12406574,0.07122357,0.050440155,0.027404772,0.04458976,0.038764972,0.031192569,,0.050764672,0.037608985,0.026127093,0.05028524,0.024342889,0.030367658,,,0.024415644,,
21,0.26611447,0.1456074,0.058240324,0.036047611,0.03075098,0.03893272,0.03448336,0.02948261,,0.043082956,0.045683015,0.030887978,0.037570056,,0.039356098,,0.026273767,,,0.026778059
22,0.27568582,0.14507164,0.064657114,0.03035308,0.03134327,0.041856572,0.037527736,0.032154277,,0.03453189,0.04314094,0.03181733,0.042387385,,0.030945154,,,,0.024649706,0.028407749
23,0.27568582,0.14507164,0.064657114,0.03035308,0.03134327,0.041856572,0.037527736,0.032154277,,0.03453189,0.04314094,0.03181733,0.042387385,,0.030945154,,,,0.024649706,0.028407749
24,0.27568582,0.14507164,0.064657114,0.03035308,0.03134327,0.041856572,0.037527736,0.032154277,,0.03453189,0.04314094,0.03181733,0.042387385,,0.030945154,,,,0.024649706,0.028407749
25,0.27568582,0.14507164,0.064657114,0.03035308,0.03134327,0.041856572,0.037527736,0.032154277,,0.03453189,0.04314094,0.03181733,0.042387385,,0.030945154,,,,0.024649706,0.028407749
26,0.27568582,0.14507164,0.064657114,0.03035308,0.03134327,0.041856572,0.037527736,0.032154277,,0.03453189,0.04314094,0.03181733,0.042387385,,0.030945154,,,,0.024649706,0.028407749
27,0.26939163,0.13625672,0.06542123,0.032614946,0.03034184,0.037405893,0.03767692,0.03105307,0.035267808,0.03684376,0.039919198,0.038290564,0.033689298,,0.03536107,,,,,0.029193703
28,0.28947204,0.1407573,0.058078755,0.029303571,0.033091456,0.038311876,0.033741903,0.029557226,0.024196588,0.047684267,0.03388542,0.033253524,0.03838528,,0.031377502,,,,,0.028157797
29,0.29820353,0.14986925,0.049269866,,0.03260734,0.038665224,0.033412986,0.030135244,0.031992085,0.030948246,0.033596586,0.048220206,0.031672474,,0.027761346,,,,0.02439454,0.028221691
30,0.29820353,0.14986925,0.049269866,,0.03260734,0.038665224,0.033412986,0.030135244,0.031992085,0.030948246,0.033596586,0.048220206,0.031672474,,0.027761346,,,,0.02439454,0.028221691
