retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.20436873,0.04931825,0.067522876,0.04264124,0.038987737,0.046035174,0.052449245,0.06993639,0.059588414,0.025225617,0.019193383,0.04411693,0.09078301,0.033119086,0.031683214,0.03534164,0.019418467,0.021725709,0.023605565,0.024939219
2,0.21017428,0.05111386,0.06318423,0.039523914,0.039637063,0.046692576,0.052785523,0.074043095,0.05825843,0.023938624,0.020244548,0.03629779,0.09703998,0.0337939,0.030990383,0.033299983,0.018756479,0.022039104,0.023436029,0.024750166
3,0.20818292,0.044858146,0.06832324,0.040496837,0.03981298,0.044740856,0.053877715,0.07115928,0.05292371,0.024430323,0.01963226,0.044804256,0.099513344,0.034845065,0.03107511,0.035113044,0.019263927,0.019604703,0.022538677,0.024803618
4,0.209141,0.047398854,0.06721178,0.041512653,0.0407049,0.043312743,0.05596471,0.07536893,0.05226111,0.02445202,0.018132782,0.03739585,0.09727568,0.033729326,0.03173795,0.037158333,0.020446312,0.019683156,0.022137275,0.0249747
5,0.21348597,0.05127329,0.058210373,0.041414738,0.03692469,0.043992765,0.054064967,0.076978445,0.05396235,0.023235667,0.019404009,0.032349546,0.10015999,0.034771048,0.031102546,0.039437804,0.020729117,0.021979377,0.0217802,0.024743222
6,0.20732059,0.04593747,0.077568084,0.040501874,0.0381225,0.039774932,0.051788177,0.07723941,0.059413187,0.02344144,0.019939274,0.03577002,0.09941368,0.03341432,0.0292144,0.03502449,0.019225063,0.019990608,0.022667354,0.024233183
7,0.2057686,0.048609708,0.08348995,0.040839583,0.03634037,0.03948455,0.052092623,0.075192854,0.060394075,0.024104005,0.020708174,0.032229707,0.0988062,0.033129808,0.02824804,0.035279024,0.019511906,0.01936784,0.024116611,0.022286322
8,0.2150599,0.04403713,0.086452164,0.040093046,0.03847626,0.038006198,0.05147229,0.06973751,0.058035888,0.023747874,0.020137733,0.035810273,0.100251205,0.032160345,0.028119989,0.03304248,0.01910524,0.020991016,0.022130715,0.023132775
9,0.20743446,0.058352504,0.057686962,0.043233607,0.03578603,0.037866127,0.054164693,0.07322107,0.05818944,0.02271792,0.0207201,0.053225715,0.09562862,0.032723747,0.02843508,0.035977684,0.019480255,0.01896839,0.02303948,0.023148097
10,0.21443845,0.046282396,0.07456176,0.04091368,0.034121346,0.038589202,0.054143555,0.075313546,0.06681354,0.02249351,0.019441685,0.040213317,0.09416686,0.033228528,0.02720029,0.034957618,0.019340051,0.019983677,0.022087853,0.021709163
