retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.24401973,0.04022496,0.05536338,0.03817051,0.035724103,0.025739951,0.04478018,0.08789251,0.0760296,0.019034961,0.018940318,0.04274505,0.090746336,0.02528933,0.036265336,0.03473259,0.015803639,0.020305915,0.017064316,0.031127231
2,0.24705073,0.042476807,0.055002686,0.035985578,0.037910376,0.026074246,0.044914514,0.08479758,0.07554923,0.020358762,0.01903443,0.038883287,0.088810414,0.026354494,0.036074836,0.036734648,0.016270999,0.021392379,0.01725268,0.02907129
3,0.2561871,0.04053684,0.056144062,0.03379528,0.035851438,0.025870318,0.044765636,0.08671369,0.07558547,0.019594496,0.019988582,0.037797246,0.08712333,0.025830783,0.03505647,0.036473513,0.0153234955,0.021248376,0.016917007,0.02919683
4,0.25013748,0.042776722,0.057927933,0.036526807,0.037926514,0.027094465,0.045618527,0.08179414,0.07257344,0.019947384,0.020527204,0.039893694,0.08657809,0.026300626,0.03372227,0.034842424,0.01626744,0.020203562,0.018277857,0.03106347
5,0.2583191,0.04090173,0.051302075,0.036600985,0.036268316,0.023324119,0.045053307,0.08443637,0.0751217,0.019314112,0.019571617,0.04565433,0.084621266,0.025966825,0.033484075,0.038669687,0.016605942,0.019438343,0.016717134,0.02862891
6,0.24977668,0.043430824,0.053016525,0.036968414,0.038458247,0.023973789,0.045911867,0.090605035,0.077788316,0.019683529,0.020387903,0.037286215,0.082926214,0.025721364,0.03302722,0.03711706,0.016163595,0.019787684,0.017325336,0.030644258
7,0.2529702,0.041362606,0.053330205,0.0351269,0.03809007,0.024771184,0.04834774,0.08920239,0.07393443,0.01890247,0.020196715,0.045136925,0.07990803,0.025033552,0.03337118,0.03705117,0.01600207,0.01946434,0.017426735,0.03037115
8,0.26199263,0.03847319,0.05540142,0.034229796,0.037914913,0.025049461,0.052215002,0.08121554,0.06876593,0.019604126,0.020000335,0.044613298,0.07980413,0.025583241,0.03437787,0.037625507,0.016228387,0.019219168,0.016915668,0.030770354
9,0.2707389,0.04194062,0.056182925,0.031725377,0.03884636,0.026995331,0.054537497,0.0783641,0.064442776,0.018744448,0.019410923,0.04322867,0.078624174,0.025198199,0.031711806,0.036286134,0.016350359,0.018724015,0.016559104,0.031388335
10,0.2569481,0.0406989,0.05409314,0.031382844,0.038065292,0.025275264,0.051569127,0.09066912,0.06744959,0.01981672,0.019027485,0.04519832,0.08300388,0.024593512,0.03190973,0.03914637,0.0162016,0.018422736,0.015862547,0.030665677
