retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.22001779,0.047392163,0.050154153,0.041739617,0.044488985,0.034877483,0.061271943,0.065108836,0.053334206,0.025701236,0.021684382,0.046066076,0.08965761,0.030905798,0.032462317,0.03955128,0.022529552,0.020366725,0.023850279,0.028839543
2,0.22023296,0.05048844,0.0525253,0.040496007,0.041819528,0.034825373,0.061449178,0.06534944,0.05273433,0.023533944,0.020982744,0.05633537,0.09167006,0.028628275,0.030070335,0.036015242,0.021404129,0.019811425,0.023674972,0.027952999
3,0.22558111,0.04519936,0.052870665,0.0427177,0.045171384,0.033501934,0.06022817,0.06261078,0.059116483,0.023953078,0.021985278,0.04804051,0.093603596,0.028797416,0.030784296,0.03498119,0.020457165,0.020991819,0.022582768,0.026825408
4,0.22500491,0.044726968,0.05500189,0.041666694,0.043183457,0.03380148,0.059877355,0.061418723,0.059465405,0.024026511,0.021859532,0.051611852,0.09580653,0.027703216,0.030710185,0.034328505,0.0200787,0.020414205,0.0218677,0.027446108
5,0.231113,0.04191931,0.05470282,0.03623557,0.04167205,0.033515938,0.06479608,0.0625686,0.058802605,0.023053922,0.021003295,0.04711818,0.10097107,0.02881845,0.029831335,0.03441994,0.020261612,0.01900607,0.021822488,0.028367667
6,0.23633675,0.046648115,0.050367095,0.037283354,0.043441083,0.033162158,0.064349845,0.06322186,0.055669915,0.023212714,0.021118814,0.046079997,0.095362514,0.028276684,0.032401457,0.0346601,0.020383593,0.018930363,0.022740057,0.026353499
7,0.23395304,0.04584773,0.04665885,0.036651824,0.04397417,0.03334959,0.06429459,0.064394474,0.058914464,0.023670986,0.020419845,0.04993228,0.09190292,0.029119661,0.03045527,0.035860527,0.020764872,0.019928325,0.023175664,0.026731027
8,0.23378834,0.048732065,0.043876395,0.0391547,0.04338035,0.03265772,0.0635441,0.062810935,0.06624084,0.023496278,0.020684803,0.04698835,0.09081208,0.029460914,0.030963337,0.034657776,0.019582292,0.01890158,0.023392333,0.026874788
9,0.24118717,0.048276618,0.04617755,0.038968746,0.043276623,0.031730246,0.06211257,0.061655644,0.058185786,0.022072347,0.02106018,0.05271254,0.09347509,0.028481813,0.02902793,0.03208596,0.019639472,0.020435685,0.023562571,0.02587555
10,0.24545716,0.045353454,0.0474835,0.037332,0.045335963,0.032094292,0.059602823,0.060586315,0.066390455,0.021957204,0.019211011,0.053535227,0.091341645,0.027908279,0.029022621,0.03238728,0.018761717,0.018382799,0.022436513,0.02541972
11,0.25413004,0.04400926,0.04511676,0.037888438,0.04816918,0.032212187,0.058419462,0.06295092,0.05994507,0.02274285,0.019142259,0.047934197,0.085846566,0.028577128,0.029695824,0.03553962,0.01947366,0.020629557,0.022871152,0.024705924
