retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.20258653,0.06004457,0.0671071,0.028531674,0.036889844,0.033194,0.058672365,0.06228909,0.048576925,0.024194054,0.025631027,0.054237902,0.09524928,0.0359555,0.029930461,0.045328774,0.023171168,0.020825772,0.018745728,0.028838217
2,0.19972013,0.06558499,0.06859962,0.027392797,0.03612016,0.034043938,0.059905116,0.060326204,0.050792985,0.024538219,0.023502536,0.051199898,0.095724605,0.034861606,0.029192878,0.047166243,0.022658821,0.020679122,0.019328231,0.028661938
3,0.20560414,0.061862864,0.06551661,0.0272936,0.037777934,0.033136472,0.060055256,0.06160445,0.051674146,0.023632497,0.022381628,0.046580374,0.09754511,0.03465607,0.02923951,0.046504032,0.022832634,0.02258706,0.02068754,0.028828047
4,0.20508102,0.061697807,0.0655958,0.030714769,0.03729586,0.033713803,0.058651198,0.06248682,0.049404375,0.024205578,0.024191014,0.048508484,0.09462966,0.034897722,0.030522492,0.045798786,0.022365917,0.022451058,0.019458774,0.02832919
5,0.20432913,0.0626327,0.066058815,0.028030278,0.036988568,0.03353547,0.061861638,0.0654932,0.051266585,0.02291933,0.024467073,0.04802481,0.09264672,0.034925785,0.03004465,0.04542385,0.022723848,0.021422064,0.019513201,0.027692312
6,0.20542577,0.06234243,0.062610134,0.02930367,0.03523186,0.031094361,0.06044594,0.06705652,0.05487639,0.023281354,0.025612976,0.046470586,0.097031005,0.034715813,0.02881553,0.04229468,0.023392996,0.021806382,0.020550754,0.027640821
7,0.21174915,0.0604485,0.063058384,0.03058562,0.035699606,0.032856558,0.061172817,0.05912222,0.048138667,0.023142422,0.025667248,0.05686333,0.0926779,0.035917733,0.029021258,0.041817006,0.02421241,0.020943336,0.018612523,0.02829318
8,0.21151738,0.06563702,0.06367399,0.030702729,0.034330767,0.032112066,0.058942992,0.06128689,0.049300406,0.024136905,0.023518043,0.051007487,0.10110295,0.034580763,0.028747888,0.039701164,0.023377707,0.02129887,0.018073142,0.02695083
9,0.2121148,0.06250181,0.06379877,0.032244097,0.03333886,0.033315584,0.060218696,0.061243284,0.048064776,0.023921248,0.02341213,0.053074397,0.09888911,0.034994707,0.02925026,0.039931342,0.023301696,0.021162938,0.019399948,0.02582152
10,0.21849318,0.061596554,0.065855026,0.031054987,0.03570568,0.03345813,0.05894288,0.06271907,0.049310047,0.023239093,0.02349641,0.047954164,0.09744577,0.034539092,0.028867722,0.039687317,0.022901032,0.019904485,0.019417187,0.025412258
11,0.21973278,0.060736015,0.068405196,0.03337376,0.036232144,0.032358017,0.057326153,0.06321497,0.054883707,0.023432665,0.024025816,0.046434946,0.09524005,0.033101853,0.028614411,0.03791221,0.022393579,0.019682296,0.018120306,0.02477923
12,0.21577998,0.05669951,0.063664064,0.033487886,0.035447486,0.031502597,0.057830952,0.06391306,0.059311174,0.02245766,0.02438102,0.05060812,0.09469335,0.0344529,0.029375754,0.03963583,0.021890674,0.01965246,0.019743035,0.02547243
13,0.21980558,0.05975989,0.06321767,0.03264316,0.034705304,0.033529,0.057394728,0.0637033,0.05759188,0.022838216,0.025020929,0.04191876,0.09514627,0.034975037,0.02821485,0.04257036,0.022404566,0.02042084,0.019263845,0.02487583
14,0.21982895,0.06938952,0.0562814,0.035230454,0.034560148,0.034232076,0.056960355,0.05590586,0.050628114,0.022737011,0.023862105,0.055923797,0.09408241,0.033847257,0.02835054,0.04189246,0.022190986,0.022029148,0.018441284,0.02362607
15,0.22218145,0.060092982,0.05974214,0.034165114,0.035988215,0.03244682,0.05758713,0.06436122,0.058479965,0.022618126,0.022706088,0.047345724,0.09372773,0.033440363,0.028550074,0.041582633,0.021427758,0.022133889,0.017875435,0.023547107
16,0.23046388,0.05925971,0.06071946,0.03293058,0.03644018,0.03155344,0.056997526,0.06444257,0.058690444,0.021572893,0.021920484,0.045353997,0.094114706,0.032394785,0.028368492,0.04071042,0.021626633,0.021098675,0.01792526,0.02341602
17,0.21722388,0.06189477,0.065010145,0.033741787,0.035864614,0.03532936,0.059925023,0.06076488,0.05420229,0.022604374,0.021681972,0.050942566,0.09317056,0.032496337,0.028820427,0.043350503,0.020796206,0.020454658,0.018283177,0.023442442
18,0.21995334,0.06100995,0.057729546,0.03440479,0.03488232,0.034719072,0.055389464,0.065771006,0.06722692,0.022697758,0.021412972,0.048178542,0.09485052,0.03320524,0.02781792,0.039534304,0.020342408,0.019951034,0.017771404,0.023151528
19,0.22154458,0.057166673,0.061656523,0.03598208,0.034714162,0.034202784,0.05805849,0.062117044,0.06528576,0.023140071,0.020516824,0.040468432,0.09573132,0.033175398,0.028706836,0.040724132,0.020847468,0.02175269,0.019838763,0.024369972
20,0.22495462,0.059102956,0.06491341,0.034502782,0.035416737,0.0343973,0.054527864,0.06685875,0.061806675,0.023167199,0.020931786,0.044381034,0.090670496,0.033249065,0.028144173,0.04017526,0.020291766,0.020146297,0.018004466,0.02435732
21,0.22761634,0.061153226,0.059943914,0.032868948,0.03418948,0.033910118,0.055876896,0.067808464,0.06523059,0.02234739,0.020116609,0.044913713,0.09339839,0.03225987,0.028354188,0.037703417,0.02070595,0.020117823,0.017115196,0.024369538
22,0.22370137,0.058845006,0.0687763,0.033071347,0.035509568,0.032860585,0.054484062,0.06458197,0.063294515,0.021652969,0.020465551,0.044686086,0.0948738,0.032260913,0.028955188,0.039928246,0.019758696,0.021723373,0.01683884,0.023731578
23,0.2261088,0.060618035,0.06376745,0.030914227,0.0324312,0.033039503,0.05497922,0.06436027,0.067530006,0.022632312,0.020797305,0.048101857,0.09421114,0.03162009,0.028059186,0.038718056,0.020295745,0.019519068,0.017742386,0.024554204
24,0.23136012,0.058664303,0.06513622,0.03243881,0.033606708,0.032871522,0.05500276,0.062283453,0.06291065,0.023066537,0.020964127,0.041321076,0.09631391,0.032955535,0.027935786,0.040339086,0.020553323,0.01977672,0.018420938,0.024078352
25,0.23001218,0.057958424,0.06476108,0.032251123,0.034524944,0.033572156,0.05375608,0.064644314,0.06234691,0.021702303,0.02060259,0.046228047,0.09607223,0.03165152,0.026747584,0.04022299,0.020588892,0.021858146,0.017022578,0.023475891
26,0.22874793,0.056242693,0.06281516,0.031815257,0.03508908,0.031499572,0.053137727,0.069654696,0.06512762,0.02270542,0.021714326,0.045677394,0.09402034,0.03192355,0.027398411,0.03999189,0.019683208,0.020124918,0.019191002,0.02343979
27,0.23125726,0.05817074,0.0651887,0.03202255,0.036803495,0.032993205,0.055401076,0.060878873,0.060623083,0.022300554,0.020942682,0.048217587,0.096087255,0.031116765,0.02764573,0.039918102,0.019568672,0.019212512,0.018342363,0.02330878
28,0.23139583,0.05788635,0.06282423,0.032731242,0.035832085,0.032548968,0.05344572,0.06825891,0.06570355,0.021894354,0.020836737,0.046251614,0.09154163,0.031899042,0.026988382,0.037754826,0.020055182,0.020414438,0.019028781,0.022708153
29,0.2440639,0.05367243,0.072819605,0.03471209,0.03698202,0.03318282,0.05317784,0.059004754,0.060900897,0.022347132,0.021830164,0.033210482,0.094028674,0.031195527,0.027719254,0.038973473,0.020529466,0.019539637,0.01857644,0.023533328
30,0.24170521,0.053284045,0.071064,0.033808097,0.036531955,0.03190905,0.05226628,0.065993965,0.0582635,0.02065119,0.020882366,0.041962143,0.09314701,0.030988581,0.02690412,0.039993584,0.01990824,0.020160995,0.017933724,0.02264193
31,0.24572656,0.06060962,0.057608254,0.032724183,0.035413347,0.03160711,0.05596579,0.06274533,0.057666738,0.020529024,0.021409802,0.047872588,0.09374952,0.030937336,0.02588385,0.039921146,0.019395705,0.018661845,0.018956447,0.02261583
32,0.24394788,0.056349754,0.06003992,0.033914853,0.034840845,0.031527348,0.05372089,0.068287216,0.05741739,0.02123745,0.020976169,0.04536385,0.09362989,0.030974157,0.02664518,0.037899952,0.019465968,0.021130273,0.018775364,0.0238557
33,0.24311483,0.062018145,0.057734646,0.031819202,0.035727978,0.030603394,0.051623102,0.06229517,0.057274014,0.020383263,0.019903181,0.05845773,0.094734766,0.03129629,0.026310017,0.037488244,0.018920744,0.01988191,0.017440422,0.022973012
34,0.24546885,0.04927629,0.0689892,0.033133138,0.03881837,0.03198757,0.051853765,0.06988873,0.062084943,0.02042801,0.0201782,0.038819347,0.094056144,0.031530093,0.025602037,0.039305434,0.018728355,0.019398393,0.01701074,0.023442414
35,0.24933766,0.059304424,0.061638355,0.032466047,0.03902802,0.03169582,0.050726045,0.06852399,0.059119925,0.020354757,0.018875346,0.049120214,0.08929035,0.030241,0.024451187,0.037536755,0.019194698,0.019357296,0.017173309,0.022564827
36,0.23501107,0.052986205,0.06735165,0.03311936,0.03805456,0.032747153,0.050288677,0.06924922,0.06466841,0.019674726,0.020433854,0.0486824,0.09344182,0.03137828,0.026044786,0.03608349,0.02008179,0.020690361,0.017247897,0.022764295
37,0.2470526,0.04522168,0.07389443,0.03571679,0.037066486,0.030864067,0.049810562,0.0660565,0.06418234,0.01938278,0.01946284,0.049756516,0.08941487,0.030903034,0.026353212,0.03636733,0.020185288,0.018895399,0.017144479,0.022268789
38,0.24637331,0.04403561,0.08088,0.03587043,0.03711431,0.029821457,0.050822955,0.06640981,0.062713414,0.020294035,0.020225158,0.03897324,0.092666775,0.031557713,0.02750125,0.036318503,0.020352898,0.01823248,0.01747796,0.022358721
