retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.22020303,0.05688064,0.053216927,0.041773733,0.041234102,0.032075025,0.04646003,0.052447967,0.056893244,0.027337842,0.02496629,0.050596863,0.09445233,0.033508375,0.031964626,0.04382279,0.019065276,0.022839768,0.021254105,0.029007114
2,0.21893261,0.048381057,0.060018674,0.04349885,0.040648166,0.03363239,0.047714155,0.060616404,0.05620461,0.026557999,0.02250124,0.048684385,0.092814155,0.03312996,0.029754449,0.042242393,0.018848205,0.023741381,0.021424448,0.030654464
3,0.22603291,0.05042713,0.05330695,0.039794646,0.041488525,0.03172037,0.045399956,0.060294278,0.055176876,0.025311751,0.023800492,0.05437017,0.090407364,0.03270133,0.031074045,0.045822136,0.018086514,0.024288809,0.02140306,0.029092763
4,0.22459789,0.050500143,0.05782376,0.040168613,0.04058736,0.03297442,0.046210226,0.056737993,0.053833846,0.025393872,0.02369806,0.047633305,0.093404606,0.03361179,0.031169383,0.045914073,0.018108549,0.02519619,0.02258809,0.02984775
5,0.24227613,0.045644045,0.056771062,0.03917716,0.044410266,0.033845004,0.04828263,0.053464524,0.050973814,0.025905121,0.023045875,0.0435323,0.089350164,0.033820286,0.030550085,0.04459831,0.01894095,0.023887448,0.02363077,0.027894085
6,0.23334011,0.046164468,0.061056733,0.04072331,0.043176487,0.033817377,0.04747344,0.05395344,0.05984448,0.02567108,0.022039263,0.036159843,0.08849776,0.035768934,0.032652784,0.04872302,0.01850045,0.024617627,0.021208387,0.02661094
7,0.23838145,0.041539714,0.06489008,0.03943868,0.044618562,0.033500183,0.04984368,0.053104922,0.052053723,0.026332349,0.021963434,0.040136896,0.09550503,0.034332145,0.030821865,0.042067006,0.018402385,0.024863653,0.021844754,0.026359564
8,0.24118592,0.043887362,0.065325245,0.03936634,0.04426015,0.03436041,0.0480003,0.05266753,0.05290757,0.025455162,0.02213014,0.03813835,0.09144567,0.034167927,0.030812891,0.042871434,0.018022837,0.025207203,0.022859395,0.0269282
9,0.24527423,0.043934718,0.057864305,0.037949394,0.04456053,0.03321314,0.050050776,0.054469775,0.048741076,0.024934808,0.02295355,0.037046216,0.09626291,0.03486542,0.02983076,0.044834357,0.019382257,0.025340946,0.022721047,0.025769826
10,0.23901778,0.044796053,0.05755439,0.038543835,0.046149656,0.035446346,0.054921936,0.055284742,0.048294738,0.025409333,0.021561218,0.043907687,0.09036524,0.033023242,0.030254865,0.044410333,0.019111875,0.023615053,0.021640422,0.02669132
11,0.2463666,0.045175675,0.0610104,0.03850578,0.043745775,0.033672012,0.050448958,0.056106746,0.049788974,0.024700116,0.022164678,0.036385115,0.09248495,0.03430029,0.0287293,0.04903302,0.02008784,0.02135289,0.021431983,0.024509013
12,0.23879667,0.048604127,0.0593334,0.039959863,0.04307836,0.034580953,0.05061417,0.05043341,0.0496273,0.025303202,0.022582974,0.046138395,0.0949071,0.033518046,0.028310968,0.047596015,0.019373108,0.023180727,0.020964643,0.023096634
13,0.24361674,0.04228996,0.055903915,0.037640113,0.04302279,0.03554605,0.051344205,0.052749433,0.051842075,0.027112499,0.024056006,0.0409804,0.09373314,0.033750053,0.028669229,0.051003005,0.018647121,0.023228453,0.020758197,0.024106532
14,0.24535766,0.041806214,0.06391094,0.035676956,0.043378174,0.034106925,0.051188033,0.051846296,0.056779493,0.024399664,0.023399943,0.04166693,0.09431155,0.03217749,0.028795354,0.045668174,0.019619517,0.02305997,0.021068051,0.021782683
15,0.24566185,0.042982474,0.055298872,0.040065806,0.043244053,0.033930074,0.050242577,0.05919775,0.052902248,0.023914447,0.022834433,0.04259504,0.09299679,0.032012966,0.028972508,0.04733042,0.019153992,0.022340002,0.021662151,0.02266149
16,0.24365789,0.042887833,0.057248108,0.037950713,0.044072255,0.033221107,0.053633012,0.05505741,0.059898507,0.025020428,0.0237798,0.04498464,0.089164525,0.03242867,0.02902815,0.042446524,0.01862768,0.023098674,0.020787403,0.02300666
17,0.24946524,0.044409763,0.05443435,0.03842375,0.044796802,0.032078825,0.052018635,0.057706963,0.0566444,0.025486834,0.023848306,0.04269874,0.09034049,0.031967472,0.02907113,0.04224651,0.018887704,0.022711212,0.02049823,0.022264618
18,0.24535492,0.05171143,0.05613202,0.03919144,0.041068837,0.03281106,0.049834047,0.05886399,0.049719222,0.025152499,0.02379877,0.044811614,0.09236374,0.031224748,0.02836485,0.046180278,0.018674813,0.022544006,0.02015495,0.0220427
19,0.25110927,0.047548067,0.055374023,0.03857407,0.043285403,0.032405682,0.05250427,0.05572339,0.050765313,0.024772786,0.023595147,0.046622053,0.09484321,0.031576533,0.029140469,0.041089144,0.018329412,0.020558454,0.019534294,0.022649083
20,0.25257412,0.045292374,0.0548079,0.03976623,0.041363798,0.033036374,0.048788376,0.0583982,0.058257695,0.024383795,0.022780392,0.044224836,0.08874882,0.031668376,0.028566023,0.04501235,0.018142229,0.021510111,0.02004922,0.02262872
21,0.24972688,0.046034656,0.053445242,0.041294217,0.043061253,0.034871016,0.05146076,0.05947654,0.05103786,0.024269499,0.023212966,0.048280228,0.08971606,0.031091051,0.028837588,0.04024728,0.017977653,0.021547776,0.0205454,0.023865996
22,0.24953954,0.04379207,0.061580967,0.04089482,0.04387707,0.03379861,0.05080166,0.059836056,0.052794192,0.023704713,0.022986343,0.03973022,0.08828384,0.031829216,0.029287372,0.041395355,0.018072596,0.021664105,0.022462074,0.023669148
23,0.2582217,0.042985763,0.057569407,0.04075879,0.04185272,0.032093033,0.05100888,0.057007458,0.056092657,0.02397173,0.02191685,0.043917842,0.089006886,0.030982558,0.02858301,0.039565995,0.018443376,0.02118822,0.021469008,0.023364086
24,0.25473753,0.048714872,0.06256373,0.04079668,0.043339342,0.032791544,0.049067516,0.054802433,0.05371927,0.023622705,0.021009853,0.042792838,0.09016666,0.030698163,0.028511276,0.037464056,0.01930462,0.021558426,0.021360923,0.02297758
25,0.25822908,0.045722734,0.053478755,0.041352388,0.04106817,0.032221336,0.050204363,0.061362524,0.0525812,0.023277711,0.021708429,0.041625,0.09164531,0.031412605,0.028454311,0.039021116,0.019525664,0.022618996,0.02081281,0.023677528
26,0.2577635,0.04358912,0.059641927,0.0413932,0.04211202,0.03408052,0.048505522,0.0594318,0.050048735,0.022923332,0.02213997,0.04336323,0.09133706,0.03165034,0.027688337,0.03922657,0.019215683,0.021529956,0.020457113,0.023902094
27,0.26074773,0.0435816,0.059656467,0.04241281,0.041602056,0.031327687,0.05039703,0.05627349,0.0543393,0.0227047,0.021526288,0.04513164,0.08964338,0.031439476,0.028189162,0.036693115,0.018493157,0.021332283,0.020059904,0.024448724
28,0.26390278,0.04391219,0.053847965,0.03921258,0.041630782,0.033452533,0.05113762,0.05708026,0.05632692,0.023325337,0.022071952,0.040568203,0.090759955,0.031731043,0.027899763,0.039300233,0.018667843,0.020662304,0.020692268,0.023817549
29,0.26448292,0.045421794,0.049930364,0.039704736,0.042538036,0.032870695,0.051662106,0.05574813,0.057471327,0.023934335,0.02203581,0.041804347,0.089603275,0.030769136,0.027749244,0.039150715,0.018391252,0.02219502,0.02037461,0.024162252
30,0.26800063,0.043637097,0.051392663,0.04046906,0.0435597,0.034240223,0.050883498,0.053761642,0.053739775,0.023511745,0.02192119,0.040447205,0.08855791,0.031617783,0.027402848,0.038713448,0.018825965,0.022517342,0.02117373,0.025626611
31,0.26125816,0.04287528,0.052843437,0.03880074,0.044176064,0.032513525,0.049635906,0.056877743,0.056779828,0.022861464,0.021799836,0.044969473,0.08667943,0.031654693,0.027956089,0.04168788,0.01837144,0.022880502,0.02034076,0.025037734
32,0.25953135,0.04407651,0.050691873,0.03880142,0.04305223,0.031022858,0.050178897,0.064366944,0.057372127,0.02395875,0.021395074,0.043642778,0.08387582,0.03105898,0.028431967,0.04291759,0.018343514,0.021697856,0.020005358,0.02557808
33,0.26020595,0.043468148,0.053106543,0.039447784,0.04277108,0.03234094,0.05102883,0.057436857,0.05889014,0.023474896,0.02123125,0.041918337,0.08866636,0.031128949,0.027519083,0.04295555,0.01804835,0.021791512,0.019019725,0.025549583
34,0.26583883,0.043101937,0.050727926,0.03975083,0.04287319,0.03178972,0.050131597,0.05885385,0.059013605,0.023372166,0.020721553,0.040459458,0.086304545,0.030640151,0.027910868,0.042476498,0.018159026,0.021078413,0.020410702,0.026385099
35,0.27068704,0.044751182,0.051842187,0.036040105,0.041981313,0.03198467,0.05091822,0.056471776,0.05741908,0.023181066,0.020416735,0.043754347,0.08672118,0.031012751,0.027187807,0.040094264,0.018341996,0.02099949,0.019737741,0.026457075
36,0.2719316,0.043011222,0.052319404,0.038932472,0.04313077,0.030719005,0.049404826,0.056007516,0.05463979,0.02233342,0.020185106,0.04423608,0.08846382,0.03052192,0.02764127,0.04021687,0.017956046,0.021563046,0.020379318,0.026406504
37,0.26661837,0.04382166,0.050261546,0.03585091,0.04214562,0.031341374,0.05162236,0.055634513,0.059667956,0.023046486,0.021194963,0.043897938,0.089404546,0.030468913,0.028197896,0.03948257,0.01848402,0.021584634,0.020095663,0.027178016
38,0.27056208,0.04216908,0.052797876,0.038229343,0.041111756,0.030343557,0.048214473,0.056687575,0.058773022,0.022480655,0.020416131,0.044826023,0.0861141,0.030975867,0.028054645,0.041716028,0.017609328,0.021707479,0.0207173,0.026493628
