retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.21807727,0.056155313,0.05863993,0.03579119,0.041085783,0.032732897,0.052073028,0.07413608,0.052590292,0.02287209,0.02253802,0.041652765,0.10074419,0.030455118,0.02823298,0.048319817,0.01955955,0.02012389,0.018260444,0.025959427
2,0.22382002,0.050457142,0.061645962,0.03785092,0.04053632,0.033576053,0.049550373,0.07794833,0.056613512,0.022883996,0.020934174,0.04519917,0.09585902,0.02950732,0.025242476,0.046128307,0.020286921,0.018563751,0.015851976,0.027544346
3,0.23154417,0.06636345,0.048566822,0.036083035,0.040194828,0.030234782,0.049714033,0.070753485,0.058136024,0.021326615,0.01991657,0.05357369,0.09858402,0.027959304,0.025281245,0.041635074,0.019650487,0.018120604,0.015998876,0.0263629
4,0.23771642,0.061716158,0.04888275,0.034898974,0.04236759,0.032971036,0.050985165,0.07606492,0.054925688,0.021298686,0.019417837,0.042513978,0.097673774,0.027759144,0.025145622,0.043400627,0.019573083,0.018931933,0.017200096,0.026556617
5,0.23197548,0.050564323,0.053532243,0.036899596,0.042077426,0.03267488,0.055893872,0.07196532,0.05551061,0.02101296,0.021038877,0.044748098,0.10189625,0.028409401,0.026132727,0.041987494,0.019693537,0.01903392,0.018017007,0.026936034
6,0.24011935,0.047312617,0.051977504,0.035461694,0.042260304,0.030961508,0.054361675,0.0778898,0.05821145,0.02101851,0.021062471,0.045698754,0.09692147,0.028485006,0.024284013,0.04246411,0.019977205,0.017468873,0.01867545,0.025388222
7,0.22872122,0.047992192,0.054818586,0.03844476,0.045500506,0.033514228,0.05211821,0.07454674,0.050310038,0.020855298,0.021760374,0.042193856,0.10292617,0.028854806,0.025270266,0.050101507,0.019770157,0.017755382,0.017298337,0.027247364
8,0.23083888,0.049521267,0.054038536,0.036916196,0.04512276,0.034053724,0.05171293,0.076996036,0.051201675,0.021430941,0.022503033,0.04031939,0.10498407,0.028779477,0.025293235,0.042465646,0.020321613,0.018036954,0.018160913,0.027302742
9,0.22236219,0.061638318,0.051773544,0.038019318,0.04222615,0.035372164,0.051485334,0.07649765,0.059877142,0.020504765,0.020311847,0.043073356,0.09917052,0.027821952,0.025714763,0.042717397,0.019430367,0.018679764,0.015829273,0.027494036
10,0.22075325,0.06130207,0.058055382,0.040089075,0.041788492,0.032505415,0.053263012,0.07634665,0.06164287,0.019847717,0.020260537,0.046183866,0.093843535,0.02740836,0.024039209,0.041970287,0.018753305,0.018380523,0.016782492,0.026784083
11,0.22881377,0.058905277,0.053927753,0.038571883,0.04063383,0.032473832,0.05184613,0.0677548,0.07317132,0.020371357,0.021472005,0.040716186,0.09847016,0.027841648,0.023009887,0.04077889,0.018765671,0.018406188,0.017217744,0.026851684
12,0.22774291,0.062307153,0.05272712,0.040462244,0.03969751,0.035086233,0.050637174,0.070980765,0.054531716,0.020031754,0.020827774,0.05110152,0.09970227,0.027531393,0.024619967,0.040393546,0.018751351,0.018950671,0.017588558,0.026328288
13,0.22251585,0.058000185,0.051293604,0.039932493,0.04225602,0.034532323,0.051713023,0.0761144,0.07290064,0.020699985,0.020847827,0.04409091,0.09561542,0.027623205,0.025993437,0.03703548,0.019782826,0.018679772,0.01665921,0.02371343
14,0.22420938,0.05855201,0.051739886,0.039904058,0.0395988,0.033581167,0.053861465,0.07772075,0.074839726,0.020181818,0.020505825,0.042898986,0.09660084,0.027499903,0.024593212,0.037895035,0.019559408,0.018528538,0.017149307,0.020579927
15,0.22296809,0.061879106,0.05158126,0.04059664,0.040696457,0.03466617,0.05334926,0.074302554,0.053280365,0.020900467,0.021616908,0.04596896,0.101994894,0.028172541,0.025878778,0.042223893,0.020363482,0.019672368,0.01838703,0.021500777
16,0.22774932,0.06021339,0.051673837,0.03960959,0.041708484,0.034448355,0.050935544,0.07043044,0.07238398,0.020611301,0.021176381,0.041596312,0.09974754,0.027744425,0.024875352,0.038822778,0.020260153,0.018872716,0.01690058,0.020239515
17,0.2243883,0.0609563,0.05144752,0.039395787,0.040101837,0.03339491,0.049601167,0.071796976,0.07208852,0.01988689,0.022107441,0.047561098,0.09950877,0.02745805,0.024775267,0.039876014,0.019465992,0.01862284,0.01711226,0.020454098
18,0.22823751,0.05822467,0.06332964,0.036945224,0.042737134,0.033596016,0.05133276,0.06636302,0.054268137,0.021857336,0.02178879,0.043132395,0.10165672,0.029125463,0.026965082,0.04535898,0.019359345,0.018021422,0.017331736,0.020368611
19,0.22549094,0.060992185,0.055652227,0.0371815,0.04220338,0.03399382,0.05015452,0.06223397,0.0621588,0.020945597,0.020676153,0.053055584,0.09990259,0.028008787,0.02657908,0.043591443,0.018746914,0.018028822,0.01777294,0.022630766
20,0.22754057,0.059694123,0.053297848,0.037845552,0.038951978,0.035440803,0.050138295,0.06414673,0.0653172,0.02019454,0.020620018,0.052457094,0.10329175,0.027357813,0.02663624,0.040129077,0.018965557,0.019140821,0.016597262,0.02223674
21,0.23555319,0.06132579,0.052923795,0.03682527,0.0394408,0.033500597,0.050121263,0.07151375,0.063434094,0.020797627,0.020272652,0.045342457,0.097383775,0.028158031,0.026791874,0.040536094,0.019153927,0.018599283,0.016723452,0.021602215
22,0.23051842,0.060919724,0.057046533,0.037541572,0.03869153,0.032477394,0.04819891,0.07023255,0.0647562,0.020750957,0.02064871,0.043873735,0.102521084,0.029105132,0.027125742,0.03793747,0.01876325,0.019999338,0.016332783,0.022559034
23,0.22374666,0.06311862,0.050464682,0.03791563,0.03799926,0.031265393,0.052231062,0.067165524,0.071028754,0.0213248,0.020951651,0.050975136,0.099760965,0.029017644,0.028071068,0.037107192,0.019338004,0.018964536,0.017301027,0.022252386
