retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.280513,0.041864727,0.047824133,0.03727487,0.036278695,0.025686527,0.051913925,0.05747801,0.053756535,0.025653575,0.021351522,0.05164321,0.07889491,0.025385693,0.03639924,0.039068688,0.019175172,0.021252995,0.020295175,0.02828937
2,0.28544486,0.045103107,0.042337384,0.03664136,0.03785462,0.026204307,0.053167615,0.053890616,0.055679597,0.02482028,0.020858046,0.04742701,0.078888744,0.02581259,0.03628137,0.0407564,0.018819382,0.022643026,0.019305652,0.028064128
3,0.28634953,0.04414009,0.045008697,0.034643713,0.0361157,0.025928406,0.053974707,0.057916325,0.055623855,0.02584111,0.022052096,0.048010714,0.07840116,0.02476229,0.03760729,0.037236374,0.018391322,0.020180838,0.020670677,0.027145024
4,0.2857154,0.044349626,0.04319534,0.036045592,0.038127784,0.026251446,0.053485725,0.055898875,0.055434998,0.025493352,0.022363694,0.044859752,0.077729866,0.024995007,0.038645726,0.038552374,0.01864742,0.022630531,0.019988222,0.027589342
5,0.29850084,0.0403062,0.04303073,0.03550623,0.038876817,0.025548179,0.05367394,0.060560603,0.05436119,0.025140828,0.019903865,0.046521097,0.07304496,0.02372254,0.036887508,0.040654235,0.017472515,0.020992538,0.0190674,0.02622783
6,0.3004225,0.04033188,0.040558092,0.032117013,0.036773384,0.026964271,0.054877996,0.060114104,0.05778698,0.023971848,0.019454326,0.045702115,0.07812585,0.024176683,0.03668574,0.03797007,0.01822176,0.020318776,0.01908448,0.026342139
7,0.3004734,0.043001097,0.042815004,0.032946013,0.035750277,0.024659267,0.054015793,0.058773696,0.05593927,0.02437118,0.020005058,0.04900419,0.0758109,0.024761965,0.035978403,0.038383845,0.017610984,0.020767558,0.01808371,0.026848435
8,0.30196843,0.043061003,0.042612676,0.03206321,0.038515132,0.025981715,0.053297672,0.060712114,0.057555508,0.02341195,0.018117748,0.04130363,0.07772796,0.023778299,0.03770273,0.038934607,0.018011818,0.019414186,0.018615212,0.02721435
9,0.30220717,0.03755586,0.044291943,0.03231115,0.0416352,0.025069362,0.05496538,0.054307893,0.05095474,0.023036035,0.020549282,0.04713375,0.078194,0.024759032,0.037205458,0.04057573,0.018263225,0.021196827,0.018475428,0.0273125
10,0.30248323,0.039473794,0.044436153,0.030410279,0.038659368,0.026199365,0.053255256,0.05532202,0.058885396,0.023285646,0.019538477,0.044423398,0.07812325,0.024575852,0.037066046,0.039556943,0.018344413,0.019949002,0.018236622,0.027775457
