retrain,ret_1h,ret_12h,dist_sma10,bb_upper_dist,bb_lower_dist,bb_bandwidth,bb_pct_b,rsi_14,rsi_7,macd_line,macd_signal,roc_12,volatility_12h,range,volume_ratio,obv_slope,adx_14,dema9_sma50_dist,tema7_sma50_dist,momentum_rank
1,0.25533345,0.049784638,0.050254174,0.03111513,0.037073996,0.025662685,0.050223988,0.09249058,0.07490823,0.017206589,0.017032463,0.04016578,0.07925989,0.026818704,0.038029056,0.03281913,0.017634667,0.015370691,0.017239457,0.031576697
2,0.26510298,0.048241824,0.048290312,0.028406749,0.03678911,0.026799636,0.053745005,0.08843819,0.07437069,0.01750431,0.017200753,0.037593048,0.08337884,0.026384568,0.03723031,0.03191569,0.017788732,0.015031796,0.017518904,0.02826847
3,0.26834908,0.050281875,0.048919518,0.029440133,0.0362252,0.02624975,0.05097094,0.085874446,0.07066575,0.01802835,0.018100617,0.036680087,0.08377545,0.026565906,0.038603615,0.031427417,0.018268406,0.016190793,0.016622195,0.028760375
4,0.27838913,0.04582753,0.050942034,0.028908188,0.036156204,0.025645882,0.050590552,0.08694748,0.07080354,0.017385537,0.01861761,0.03261186,0.08514609,0.026143258,0.03773056,0.03197205,0.01752242,0.015241665,0.015753757,0.027664639
5,0.27921095,0.042094577,0.05087387,0.027726285,0.03678703,0.024774669,0.050085492,0.09148207,0.07602829,0.01771428,0.01923149,0.036254622,0.08052996,0.025636498,0.03528225,0.029627878,0.017226432,0.015284621,0.016408902,0.027739808
6,0.27985957,0.04263436,0.04405035,0.028882489,0.03736585,0.024281364,0.048902918,0.095182166,0.07902242,0.017008796,0.019361418,0.033695422,0.08073615,0.025011808,0.035473928,0.03078611,0.017248426,0.01577634,0.015647823,0.029072424
7,0.28334606,0.044005577,0.045012865,0.028467942,0.03770558,0.024226915,0.048163485,0.09291123,0.0748509,0.017192913,0.017695744,0.035317708,0.08143552,0.025093222,0.036098506,0.03194772,0.017255457,0.016022664,0.016348952,0.026901044
8,0.2763363,0.042924676,0.04789382,0.029115342,0.036207736,0.024342207,0.04726356,0.08633266,0.074650496,0.018553767,0.019349152,0.03783079,0.084147416,0.025878409,0.036960565,0.034029663,0.017467042,0.01573765,0.016766658,0.028212149
9,0.2740993,0.041054115,0.050645865,0.028537536,0.035822466,0.025645377,0.048208904,0.08542554,0.07900379,0.018160997,0.018966008,0.02828999,0.08781323,0.025835907,0.036467016,0.035296395,0.018029394,0.01671789,0.017206976,0.028773217
10,0.27383837,0.039950915,0.054398347,0.028946487,0.03646536,0.025019461,0.047196336,0.08473008,0.075437516,0.017485049,0.018027786,0.03580744,0.08651803,0.025732545,0.037063275,0.033272862,0.018085051,0.016739601,0.017290212,0.027995376
11,0.28829,0.038731303,0.05296306,0.02775894,0.035109684,0.02304162,0.04681254,0.08402981,0.07690448,0.016808446,0.017789451,0.034514412,0.08424001,0.026421981,0.035659492,0.03201483,0.01828224,0.016035976,0.01568767,0.028904093
12,0.287679,0.039596558,0.051105294,0.028340112,0.035296366,0.024713766,0.04899758,0.07836707,0.07251106,0.017853646,0.018651253,0.037054367,0.08479179,0.026734142,0.036632124,0.03221925,0.018316135,0.015237356,0.01622019,0.029682958
13,0.27267116,0.037677616,0.051432803,0.030187957,0.03756203,0.026414,0.05141973,0.08232733,0.07525072,0.01720368,0.019836616,0.029211495,0.08811268,0.027194943,0.03693669,0.03491902,0.019664431,0.01702671,0.016084533,0.028865835
14,0.27874792,0.04070518,0.049314115,0.0291257,0.037800997,0.027265068,0.052195303,0.07521274,0.07161514,0.017832965,0.019539198,0.033827405,0.084041916,0.027521975,0.03652093,0.034500837,0.019679138,0.01720693,0.016737038,0.030609613
15,0.27412635,0.040008094,0.050027695,0.03101632,0.03681754,0.02781706,0.052243005,0.0715238,0.074223705,0.017905498,0.019295983,0.033015907,0.08555438,0.028844919,0.03877169,0.03486479,0.02014658,0.01780431,0.01545282,0.030539546
16,0.28362697,0.04087788,0.049576104,0.030944977,0.035974093,0.025446676,0.05166944,0.0758284,0.0721118,0.018041516,0.019091222,0.035053805,0.0827586,0.026670786,0.03774421,0.033983953,0.018946117,0.01629931,0.016338533,0.029015617
17,0.27659997,0.043171015,0.051157463,0.030747969,0.036445964,0.026205195,0.053200945,0.07397713,0.06769299,0.018668475,0.018776657,0.038298555,0.082844496,0.027210966,0.037876576,0.034736186,0.018928336,0.017653545,0.016830457,0.028977077
