Metric,AAPL,Strategy
Risk-Free Rate,3.51%,3.51%
Time in Market,50.0%,38.0%
,,
Total Return,-4%,4%
CAGR% (Annual Return),-89.58%,702.81%
,,
Sharpe,-14.47,9.82
RoMaD,-21.12,-
Corr to Benchmark,1.0,-0.85
Prob. Sharpe Ratio,0.0%,99.95%
Smart Sharpe,-11.6,7.87
Sortino,-12.02,"1,155.82"
Smart Sortino,-9.64,926.73
Sortino/√2,-8.5,817.29
Smart Sortino/√2,-6.82,655.3
Omega,0.0,70.86
,,
Max Drawdown,-4.24%,-
Longest DD Days,-,-
Volatility (ann.),13.81%,18.4%
R^2,0.72,0.72
Information Ratio,0.64,0.64
Calmar,-21.12,-
Skew,-1.09,1.69
Kurtosis,-0.29,1.58
,,
Expected Daily%,-0.54%,0.5%
Expected Monthly%,-2.14%,2.02%
Expected Yearly%,-2.14%,2.02%
Daily Value-at-Risk,-1.73%,-1.08%
Expected Shortfall (cVaR),-1.83%,-1.08%
,,
MTD,-4.24%,4.07%
3M,-4.24%,4.07%
6M,-4.24%,4.07%
YTD,-4.24%,4.07%
1Y,-4.24%,4.07%
3Y (ann.),-89.58%,702.81%
5Y (ann.),-89.58%,702.81%
10Y (ann.),-89.58%,702.81%
All-time (ann.),-89.58%,702.81%
,,
Best Day,0.0%,2.46%
Worst Day,-1.83%,0.0%
Best Month,0.0%,4.07%
Worst 1-Month Return,-4.24%,0.0%
Best Year,0.0%,4.07%
Worst Year,-4.24%,0.0%
,,
Avg. Drawdown,-4.24%,-
Avg. Drawdown Days,-,-
Recovery Factor,1.01,-
Ulcer Index,0.02,0.0
Serenity Index,-0.61,-
Annualized Return on Risk Capital,"-4,562.5%",-
Worst 3-Month Return,-,-
Time to Recovery (Days),0,0
5th Percentile Tail Loss,-1.68%,0.0%
Time Underwater (Days),6,0
Percent Positive Months,0.0,50.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,0.0,8.0
Loss Days,8.0,0.0
Win Days%,0.0%,100.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,-1.13
Alpha,-,-0.37
Correlation,-,-84.58%
Treynor Ratio,-,-0.5%
