time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-01-02 21:00:00-05:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-02 21:00:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-02 21:00:00-05:00,buy,fill,438.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-02 21:00:00-05:00,buy,fill,1895.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-02 22:00:00-05:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-02 22:00:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-02 22:00:00-05:00,buy,fill,1.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-02 22:00:00-05:00,buy,fill,3.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 00:00:00-05:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 00:00:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 00:00:00-05:00,buy,fill,81.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 00:00:00-05:00,buy,fill,343.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 01:00:00-05:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 01:00:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 01:00:00-05:00,sell,fill,4.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 01:00:00-05:00,sell,fill,22.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,sell,fill,90.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,sell,fill,387.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 02:00:00-05:00,buy,fill,746.0,AMZN,stock,,0.0,,220.32000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,buy,fill,339.0,AMZN,stock,,0.0,,220.32000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,sell,fill,39.0,META,stock,,0.0,,596.510009765625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 03:00:00-05:00,sell,fill,174.0,NVDA,stock,,0.0,,137.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-01-03 04:00:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 04:00:00-05:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 04:00:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-01-03 04:00:00-05:00,sell,fill,11.0,AMZN,stock,,0.0,,220.32000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
