Metric,AAPL,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,38.0%,25.0%
,,
Total Return,-2%,1%
CAGR% (Annual Return),-68.07%,72.36%
,,
Sharpe,-5.43,5.1
RoMaD,-24.15,396.81
Corr to Benchmark,1.0,0.36
Prob. Sharpe Ratio,10.61%,86.87%
Smart Sharpe,-4.14,3.89
Sortino,-5.73,33.18
Smart Sortino,-4.37,25.33
Sortino/√2,-4.05,23.46
Smart Sortino/√2,-3.09,17.91
Omega,0.23,4.68
,,
Max Drawdown,-2.82%,-0.18%
Longest DD Days,6,1
Volatility (ann.),18.83%,8.59%
R^2,0.13,0.13
Information Ratio,0.43,0.43
Calmar,-24.15,396.81
Skew,-2.41,2.71
Kurtosis,6.57,7.55
,,
Expected Daily%,-0.27%,0.13%
Expected Monthly%,-1.09%,0.52%
Expected Yearly%,-1.09%,0.52%
Daily Value-at-Risk,-1.89%,-0.61%
Expected Shortfall (cVaR),-2.62%,-0.61%
,,
MTD,-2.16%,1.05%
3M,-2.16%,1.05%
6M,-2.16%,1.05%
YTD,-2.16%,1.05%
1Y,-2.16%,1.05%
3Y (ann.),-68.07%,72.36%
5Y (ann.),-68.07%,72.36%
10Y (ann.),-68.07%,72.36%
All-time (ann.),-68.07%,72.36%
,,
Best Day,0.67%,1.23%
Worst Day,-2.62%,-0.18%
Best Month,0.0%,1.05%
Worst 1-Month Return,-2.16%,0.0%
Best Year,0.0%,1.05%
Worst Year,-2.16%,0.0%
,,
Avg. Drawdown,-2.82%,-0.18%
Avg. Drawdown Days,6,1
Recovery Factor,0.76,5.76
Ulcer Index,0.02,0.0
Serenity Index,-0.67,-112.81
Annualized Return on Risk Capital,"-3,502.66%","26,241.63%"
Worst 3-Month Return,-,-
Time to Recovery (Days),4,0
5th Percentile Tail Loss,-1.78%,-0.12%
Time Underwater (Days),6,1
Percent Positive Months,0.0,50.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,2.67,4.0
Loss Days,5.33,4.0
Win Days%,33.33%,50.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.16
Alpha,-,0.64
Correlation,-,35.89%
Treynor Ratio,-,-19.26%
