Metric,AAPL,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,38.0%,38.0%
,,
Total Return,-2%,1%
CAGR% (Annual Return),-68.07%,48.57%
,,
Sharpe,-5.43,2.41
RoMaD,-24.15,66.26
Corr to Benchmark,1.0,0.36
Prob. Sharpe Ratio,10.61%,62.13%
Smart Sharpe,-3.77,1.67
Sortino,-5.73,6.08
Smart Sortino,-3.98,4.22
Sortino/√2,-4.05,4.3
Smart Sortino/√2,-2.81,2.98
Omega,0.23,1.71
,,
Max Drawdown,-2.82%,-0.73%
Longest DD Days,6,2
Volatility (ann.),18.83%,12.96%
R^2,0.13,0.13
Information Ratio,0.38,0.38
Calmar,-24.15,66.26
Skew,-2.41,1.95
Kurtosis,6.57,5.41
,,
Expected Daily%,-0.27%,0.09%
Expected Monthly%,-1.09%,0.38%
Expected Yearly%,-1.09%,0.38%
Daily Value-at-Risk,-1.89%,-1.02%
Expected Shortfall (cVaR),-2.62%,-1.02%
,,
MTD,-2.16%,0.76%
3M,-2.16%,0.76%
6M,-2.16%,0.76%
YTD,-2.16%,0.76%
1Y,-2.16%,0.76%
3Y (ann.),-68.07%,48.57%
5Y (ann.),-68.07%,48.57%
10Y (ann.),-68.07%,48.57%
All-time (ann.),-68.07%,48.57%
,,
Best Day,0.67%,1.65%
Worst Day,-2.62%,-0.73%
Best Month,0.0%,0.76%
Worst 1-Month Return,-2.16%,0.0%
Best Year,0.0%,0.76%
Worst Year,-2.16%,0.0%
,,
Avg. Drawdown,-2.82%,-0.44%
Avg. Drawdown Days,6,2
Recovery Factor,0.76,1.06
Ulcer Index,0.02,0.0
Serenity Index,-0.67,-11.02
Annualized Return on Risk Capital,"-3,502.66%","4,740.72%"
Worst 3-Month Return,-,-
Time to Recovery (Days),4,0
5th Percentile Tail Loss,-1.78%,-0.53%
Time Underwater (Days),6,3
Percent Positive Months,0.0,50.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,2.67,2.67
Loss Days,5.33,5.33
Win Days%,33.33%,33.33%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.25
Alpha,-,0.6
Correlation,-,36.31%
Treynor Ratio,-,-13.77%
