Metric,AAPL,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,50.0%,42.0%
,,
Total Return,-5%,6%
CAGR% (Annual Return),-84.27%,652.31%
,,
Sharpe,-8.58,11.85
RoMaD,-15.55,-
Corr to Benchmark,1.0,0.07
Prob. Sharpe Ratio,0.36%,100.0%
Smart Sharpe,-8.11,11.19
Sortino,-8.25,"1,033.43"
Smart Sortino,-7.8,976.34
Sortino/√2,-5.83,730.75
Smart Sortino/√2,-5.51,690.38
Omega,0.13,67.25
,,
Max Drawdown,-5.42%,-
Longest DD Days,-,-
Volatility (ann.),19.96%,15.38%
R^2,0.0,0.0
Information Ratio,0.76,0.76
Calmar,-15.55,-
Skew,-1.49,1.23
Kurtosis,1.1,-0.02
,,
Expected Daily%,-0.46%,0.51%
Expected Monthly%,-2.75%,3.09%
Expected Yearly%,-2.75%,3.09%
Daily Value-at-Risk,-2.18%,-0.81%
Expected Shortfall (cVaR),-2.52%,-0.81%
,,
MTD,-5.42%,6.27%
3M,-5.42%,6.27%
6M,-5.42%,6.27%
YTD,-5.42%,6.27%
1Y,-5.42%,6.27%
3Y (ann.),-84.27%,652.31%
5Y (ann.),-84.27%,652.31%
10Y (ann.),-84.27%,652.31%
All-time (ann.),-84.27%,652.31%
,,
Best Day,0.67%,2.13%
Worst Day,-2.62%,0.0%
Best Month,0.0%,6.27%
Worst 1-Month Return,-5.42%,0.0%
Best Year,0.0%,6.27%
Worst Year,-5.42%,0.0%
,,
Avg. Drawdown,-5.42%,-
Avg. Drawdown Days,-,-
Recovery Factor,1.01,-
Ulcer Index,0.03,0.0
Serenity Index,-0.55,-
Annualized Return on Risk Capital,"-3,041.67%",-
Worst 3-Month Return,-,-
Time to Recovery (Days),1,0
5th Percentile Tail Loss,-2.51%,0.0%
Time Underwater (Days),10,0
Percent Positive Months,0.0,50.0
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,4.0,12.0
Loss Days,8.0,0.0
Win Days%,33.33%,100.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.05
Alpha,-,1.95
Correlation,-,6.69%
Treynor Ratio,-,39.81%
