Metric,AAPL,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,67.0%,76.0%
,,
Total Return,11%,938%
CAGR% (Annual Return),18.91%,"5,322.41%"
,,
Sharpe,0.71,18.9
RoMaD,1.35,"3,512.22"
Corr to Benchmark,1.0,0.26
Prob. Sharpe Ratio,53.0%,100.0%
Smart Sharpe,0.59,15.76
Sortino,0.96,142.62
Smart Sortino,0.8,118.93
Sortino/√2,0.68,100.84
Smart Sortino/√2,0.57,84.1
Omega,1.13,53.89
,,
Max Drawdown,-14.05%,-1.52%
Longest DD Days,93,2
Volatility (ann.),21.82%,21.03%
R^2,0.07,0.07
Information Ratio,0.77,0.77
Calmar,1.35,"3,512.22"
Skew,-0.66,0.66
Kurtosis,3.15,0.39
,,
Expected Daily%,0.05%,1.09%
Expected Monthly%,1.28%,33.97%
Expected Yearly%,5.2%,222.13%
Daily Value-at-Risk,-1.82%,-0.71%
Expected Shortfall (cVaR),-2.79%,-1.2%
,,
MTD,-4.42%,34.89%
3M,2.55%,166.27%
6M,9.92%,678.03%
YTD,-4.42%,34.89%
1Y,10.68%,937.68%
3Y (ann.),18.91%,"5,322.41%"
5Y (ann.),18.91%,"5,322.41%"
10Y (ann.),18.91%,"5,322.41%"
All-time (ann.),18.91%,"5,322.41%"
,,
Best Day,3.71%,5.22%
Worst Day,-4.82%,-1.52%
Best Month,5.52%,51.39%
Worst 1-Month Return,-4.42%,0.0%
Best Year,15.79%,669.29%
Worst Year,-4.42%,34.89%
,,
Avg. Drawdown,-5.28%,-0.45%
Avg. Drawdown Days,25,1
Recovery Factor,0.82,156.07
Ulcer Index,0.05,0.0
Serenity Index,0.13,"1,423.56"
Annualized Return on Risk Capital,129.09%,"105,046.79%"
Worst 3-Month Return,1.84%,105.68%
Time to Recovery (Days),9,0
5th Percentile Tail Loss,-2.27%,0.0%
Time Underwater (Days),176,11
Percent Positive Months,62.5,87.5
,,
Avg. Up Month,3.63%,42.12%
Avg. Down Month,-,-
Win Days,128.4,204.38
Loss Days,86.6,10.62
Win Days%,59.72%,95.06%
Win Month%,71.43%,100.0%
Win Quarter%,66.67%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.25
Alpha,-,3.97
Correlation,-,26.13%
Treynor Ratio,-,"3,706.5%"
