Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,79.0%
,,
Total Return,6%,176%
CAGR% (Annual Return),14.81%,"1,241.76%"
,,
Sharpe,0.54,18.14
RoMaD,1.26,"1,299.84"
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.43,14.37
Sortino,0.73,108.39
Smart Sortino,0.58,85.88
Sortino/√2,0.51,76.64
Smart Sortino/√2,0.41,60.73
Omega,1.1,32.18
,,
Max Drawdown,-11.75%,-0.96%
Longest DD Days,93,5
Volatility (ann.),21.56%,14.07%
R^2,0.05,0.05
Information Ratio,0.56,0.56
Calmar,1.26,"1,299.84"
Skew,-0.75,0.65
Kurtosis,3.09,0.54
,,
Expected Daily%,0.04%,0.71%
Expected Monthly%,0.91%,18.46%
Expected Yearly%,5.56%,176.38%
Daily Value-at-Risk,-1.81%,-0.5%
Expected Shortfall (cVaR),-2.66%,-0.83%
,,
MTD,1.16%,16.57%
3M,1.17%,88.33%
6M,5.56%,176.38%
YTD,5.56%,176.38%
1Y,5.56%,176.38%
3Y (ann.),14.81%,"1,241.76%"
5Y (ann.),14.81%,"1,241.76%"
10Y (ann.),14.81%,"1,241.76%"
All-time (ann.),14.81%,"1,241.76%"
,,
Best Day,3.71%,3.28%
Worst Day,-4.82%,-0.96%
Best Month,3.23%,30.37%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,176.38%
Worst Year,5.56%,176.38%
,,
Avg. Drawdown,-6.73%,-0.38%
Avg. Drawdown Days,42,2
Recovery Factor,0.54,107.19
Ulcer Index,0.05,0.0
Serenity Index,0.05,613.52
Annualized Return on Risk Capital,119.87%,"46,797.03%"
Worst 3-Month Return,-0.2%,58.4%
Time to Recovery (Days),72,0
5th Percentile Tail Loss,-2.24%,-0.0%
Time Underwater (Days),127,12
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,23.38%
Avg. Down Month,-,-
Win Days,85.22,132.53
Loss Days,58.78,11.47
Win Days%,59.18%,92.04%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.15
Alpha,-,2.57
Correlation,-,23.18%
Treynor Ratio,-,"1,136.37%"
