Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,75.0%
,,
Total Return,6%,136%
CAGR% (Annual Return),14.81%,800.99%
,,
Sharpe,0.54,12.48
RoMaD,1.26,224.57
Corr to Benchmark,1.0,0.4
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.5,11.57
Sortino,0.73,30.81
Smart Sortino,0.68,28.58
Sortino/√2,0.51,21.78
Smart Sortino/√2,0.48,20.21
Omega,1.1,9.5
,,
Max Drawdown,-11.75%,-3.57%
Longest DD Days,93,12
Volatility (ann.),21.56%,17.31%
R^2,0.16,0.16
Information Ratio,0.49,0.49
Calmar,1.26,224.57
Skew,-0.75,0.07
Kurtosis,3.09,3.49
,,
Expected Daily%,0.04%,0.6%
Expected Monthly%,0.91%,15.42%
Expected Yearly%,5.56%,136.47%
Daily Value-at-Risk,-1.81%,-0.89%
Expected Shortfall (cVaR),-2.66%,-2.19%
,,
MTD,1.16%,17.67%
3M,1.17%,82.75%
6M,5.56%,136.47%
YTD,5.56%,136.47%
1Y,5.56%,136.47%
3Y (ann.),14.81%,800.99%
5Y (ann.),14.81%,800.99%
10Y (ann.),14.81%,800.99%
All-time (ann.),14.81%,800.99%
,,
Best Day,3.71%,3.39%
Worst Day,-4.82%,-3.57%
Best Month,3.23%,24.08%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,136.47%
Worst Year,5.56%,136.47%
,,
Avg. Drawdown,-6.73%,-0.66%
Avg. Drawdown Days,42,3
Recovery Factor,0.54,24.37
Ulcer Index,0.05,0.01
Serenity Index,0.05,49.68
Annualized Return on Risk Capital,119.87%,"9,698.36%"
Worst 3-Month Return,-0.2%,38.36%
Time to Recovery (Days),72,11
5th Percentile Tail Loss,-2.24%,-0.1%
Time Underwater (Days),127,33
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,19.27%
Avg. Down Month,-,-
Win Days,85.22,124.0
Loss Days,58.78,20.0
Win Days%,59.18%,86.11%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.32
Alpha,-,2.15
Correlation,-,39.62%
Treynor Ratio,-,415.1%
