time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 11:00:00-04:00,Strategy,,bt_1,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_1,AMD,buy,market,fill,157.3000030517578,1535.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,AAPL,buy,market,fill,218.7100067138672,976.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,Strategy,,bt_3,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,Strategy,,bt_3,AAPL,sell,market,fill,219.52999877929688,976.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 13:00:00-04:00,Strategy,,bt_4,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 13:00:00-04:00,Strategy,,bt_5,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 13:00:00-04:00,Strategy,,bt_4,AMD,sell,market,fill,159.28970336914062,50.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 13:00:00-04:00,Strategy,,bt_5,AAPL,buy,market,fill,219.1499938964844,1005.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_6,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_7,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_6,AMD,sell,market,fill,160.75999450683594,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_7,AAPL,buy,market,fill,219.4001007080078,5.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_8,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_9,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_8,AAPL,sell,market,fill,220.02999877929688,1010.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_9,AMD,sell,market,fill,162.31199645996094,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_10,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_11,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_10,AMD,sell,market,fill,163.91000366210938,16.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_11,AAPL,buy,market,fill,219.6100006103516,1023.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_12,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_13,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_14,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_12,AMD,sell,market,fill,164.39999389648438,1437.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_13,AAPL,sell,market,fill,220.42999267578125,1023.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_14,TSLA,buy,market,fill,235.5,378.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_15,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_16,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_17,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_18,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_15,TSLA,sell,market,fill,244.57000732421875,378.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_16,AMD,buy,market,fill,163.3000030517578,737.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_17,NVDA,buy,market,fill,121.8000030517578,984.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_18,AMZN,buy,market,fill,197.5,570.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_19,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_20,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_21,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_19,NVDA,sell,market,fill,126.04000091552734,26.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_20,TSLA,buy,market,fill,242.13409423828125,464.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_21,AAPL,buy,market,fill,220.1150054931641,502.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_22,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_23,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_24,AMZN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_25,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_26,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_22,NVDA,sell,market,fill,127.66999816894533,958.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_23,AMD,sell,market,fill,167.1927947998047,165.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_24,AMZN,sell,market,fill,198.5200042724609,90.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_25,AAPL,sell,market,fill,221.6499938964844,74.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_26,TSLA,sell,market,fill,252.08990478515625,91.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_27,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_28,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_29,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_27,AAPL,sell,market,fill,225.1699981689453,428.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_28,AMD,buy,market,fill,170.0,380.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_29,TSLA,buy,market,fill,246.625,252.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 12:00:00-04:00,Strategy,,bt_30,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 12:00:00-04:00,Strategy,,bt_31,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 12:00:00-04:00,Strategy,,bt_32,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 12:00:00-04:00,Strategy,,bt_33,AMZN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
