Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,73.0%
,,
Total Return,6%,113%
CAGR% (Annual Return),14.81%,593.28%
,,
Sharpe,0.54,11.06
RoMaD,1.26,184.28
Corr to Benchmark,1.0,0.4
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.54,11.03
Sortino,0.73,30.52
Smart Sortino,0.73,30.44
Sortino/√2,0.51,21.58
Smart Sortino/√2,0.51,21.52
Omega,1.1,7.17
,,
Max Drawdown,-11.75%,-3.22%
Longest DD Days,93,8
Volatility (ann.),21.56%,17.15%
R^2,0.16,0.16
Information Ratio,0.43,0.43
Calmar,1.26,184.28
Skew,-0.75,0.91
Kurtosis,3.09,3.77
,,
Expected Daily%,0.04%,0.53%
Expected Monthly%,0.91%,13.47%
Expected Yearly%,5.56%,113.42%
Daily Value-at-Risk,-1.81%,-0.95%
Expected Shortfall (cVaR),-2.66%,-1.63%
,,
MTD,1.16%,13.13%
3M,1.17%,63.73%
6M,5.56%,113.42%
YTD,5.56%,113.42%
1Y,5.56%,113.42%
3Y (ann.),14.81%,593.28%
5Y (ann.),14.81%,593.28%
10Y (ann.),14.81%,593.28%
All-time (ann.),14.81%,593.28%
,,
Best Day,3.71%,4.83%
Worst Day,-4.82%,-1.7%
Best Month,3.23%,20.43%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,113.42%
Worst Year,5.56%,113.42%
,,
Avg. Drawdown,-6.73%,-0.85%
Avg. Drawdown Days,42,3
Recovery Factor,0.54,23.79
Ulcer Index,0.05,0.01
Serenity Index,0.05,52.51
Annualized Return on Risk Capital,119.87%,"8,929.47%"
Worst 3-Month Return,-0.2%,37.1%
Time to Recovery (Days),72,3
5th Percentile Tail Loss,-2.24%,-0.42%
Time Underwater (Days),127,35
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,16.96%
Avg. Down Month,-,-
Win Days,85.22,117.69
Loss Days,58.78,26.31
Win Days%,59.18%,81.73%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.32
Alpha,-,1.89
Correlation,-,40.29%
Treynor Ratio,-,340.0%
