time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-06 08:00:00-04:00,Strategy,,bt_1,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,Strategy,,bt_2,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,Strategy,,bt_1,AAPL,buy,market,fill,225.4199066162109,706.0,1,318.2929081420898,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,Strategy,,bt_2,META,buy,market,fill,537.1599731445312,292.0,1,313.70142431640625,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-06 08:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,fill,127.0199966430664,1092.0,1,277.411672668457,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 08:00:00-04:00,Strategy,,bt_4,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 08:00:00-04:00,Strategy,,bt_4,NVDA,buy,market,fill,127.83989715576172,938.0,1,239.82764706420897,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,Strategy,,bt_5,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,Strategy,,bt_6,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,Strategy,,bt_5,TSLA,buy,market,fill,258.69000244140625,593.0,1,306.80634289550784,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 12:00:00-04:00,Strategy,,bt_6,NVDA,sell,market,fill,131.57699584960938,935.0,1,246.04898223876955,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-11 08:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-11 08:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,fill,134.67999267578125,682.0,1,183.70351000976564,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 12:00:00-04:00,Strategy,,bt_8,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 12:00:00-04:00,Strategy,,bt_8,AMD,buy,market,fill,185.63400268554688,1390.0,1,516.0625274658204,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 12:00:00-04:00,Strategy,,bt_9,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 12:00:00-04:00,Strategy,,bt_9,AAPL,buy,market,fill,235.57000732421875,392.0,1,184.6868857421875,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-16 08:00:00-04:00,Strategy,,bt_10,MSFT,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-16 08:00:00-04:00,Strategy,,bt_10,MSFT,buy,market,fill,454.1400146484375,562.0,1,510.45337646484376,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-16 12:00:00-04:00,Strategy,,bt_11,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-16 12:00:00-04:00,Strategy,,bt_11,TSLA,buy,market,fill,251.9250030517578,403.0,1,203.0515524597168,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 08:00:00-04:00,Strategy,,bt_12,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 08:00:00-04:00,Strategy,,bt_12,AMZN,buy,market,fill,187.8300018310547,1263.0,1,474.45858462524416,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 08:00:00-04:00,Strategy,,bt_13,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 08:00:00-04:00,Strategy,,bt_13,META,buy,market,fill,473.9200134277344,197.0,1,186.72448529052735,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
