Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,67.0%
,,
Total Return,6%,-3%
CAGR% (Annual Return),14.81%,-7.65%
,,
Sharpe,0.54,-4.4
RoMaD,1.26,-2.32
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,47.57%,0.44%
Smart Sharpe,0.5,-4.09
Sortino,0.73,-4.9
Smart Sortino,0.68,-4.56
Sortino/√2,0.51,-3.47
Smart Sortino/√2,0.48,-3.22
Omega,1.1,0.38
,,
Max Drawdown,-11.75%,-3.3%
Longest DD Days,93,134
Volatility (ann.),21.56%,2.77%
R^2,0.1,0.1
Information Ratio,-0.06,-0.06
Calmar,1.26,-2.32
Skew,-0.75,-2.01
Kurtosis,3.09,14.63
,,
Expected Daily%,0.04%,-0.02%
Expected Monthly%,0.91%,-0.52%
Expected Yearly%,5.56%,-3.07%
Daily Value-at-Risk,-1.81%,-0.26%
Expected Shortfall (cVaR),-2.66%,-0.53%
,,
MTD,1.16%,-0.12%
3M,1.17%,-2.47%
6M,5.56%,-3.07%
YTD,5.56%,-3.07%
1Y,5.56%,-3.07%
3Y (ann.),14.81%,-7.65%
5Y (ann.),14.81%,-7.65%
10Y (ann.),14.81%,-7.65%
All-time (ann.),14.81%,-7.65%
,,
Best Day,3.71%,0.59%
Worst Day,-4.82%,-0.93%
Best Month,3.23%,0.0%
Worst 1-Month Return,-3.04%,-1.33%
Best Year,5.56%,-3.07%
Worst Year,5.56%,-3.07%
,,
Avg. Drawdown,-6.73%,-1.68%
Avg. Drawdown Days,42,68
Recovery Factor,0.54,0.94
Ulcer Index,0.05,0.02
Serenity Index,0.05,-0.15
Annualized Return on Risk Capital,119.87%,-235.72%
Worst 3-Month Return,-0.2%,-2.3%
Time to Recovery (Days),72,2
5th Percentile Tail Loss,-2.24%,-0.21%
Time Underwater (Days),127,137
Percent Positive Months,66.67,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-3.04%,-0.67%
Win Days,85.22,46.5
Loss Days,58.78,97.5
Win Days%,59.18%,32.29%
Win Month%,80.0%,0.0%
Win Quarter%,50.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.04
Alpha,-,-0.09
Correlation,-,32.21%
Treynor Ratio,-,-180.81%
