Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,16.0%
,,
Total Return,6%,4%
CAGR% (Annual Return),14.81%,11.74%
,,
Sharpe,0.54,3.47
RoMaD,1.26,63.49
Corr to Benchmark,1.0,0.17
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.52,3.29
Sortino,0.73,13.89
Smart Sortino,0.69,13.17
Sortino/√2,0.51,9.82
Smart Sortino/√2,0.49,9.32
Omega,1.1,2.37
,,
Max Drawdown,-11.75%,-0.18%
Longest DD Days,93,11
Volatility (ann.),21.56%,1.94%
R^2,0.03,0.03
Information Ratio,-0.01,-0.01
Calmar,1.26,63.49
Skew,-0.75,2.7
Kurtosis,3.09,7.34
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,0.91%,0.73%
Expected Yearly%,5.56%,4.44%
Daily Value-at-Risk,-1.81%,-0.14%
Expected Shortfall (cVaR),-2.66%,-0.16%
,,
MTD,1.16%,0.51%
3M,1.17%,2.15%
6M,5.56%,4.44%
YTD,5.56%,4.44%
1Y,5.56%,4.44%
3Y (ann.),14.81%,11.74%
5Y (ann.),14.81%,11.74%
10Y (ann.),14.81%,11.74%
All-time (ann.),14.81%,11.74%
,,
Best Day,3.71%,0.46%
Worst Day,-4.82%,-0.18%
Best Month,3.23%,1.54%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,4.44%
Worst Year,5.56%,4.44%
,,
Avg. Drawdown,-6.73%,-0.15%
Avg. Drawdown Days,42,8
Recovery Factor,0.54,23.55
Ulcer Index,0.05,0.0
Serenity Index,0.05,-0.59
Annualized Return on Risk Capital,119.87%,"6,088.61%"
Worst 3-Month Return,-0.2%,1.9%
Time to Recovery (Days),72,10
5th Percentile Tail Loss,-2.24%,0.0%
Time Underwater (Days),127,25
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,0.98%
Avg. Down Month,-,-
Win Days,85.22,118.96
Loss Days,58.78,25.04
Win Days%,59.18%,82.61%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.01
Alpha,-,0.11
Correlation,-,16.69%
Treynor Ratio,-,2.04%
