Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,23.0%
,,
Total Return,6%,6%
CAGR% (Annual Return),14.81%,16.9%
,,
Sharpe,0.54,4.95
RoMaD,1.26,91.18
Corr to Benchmark,1.0,0.21
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.5,4.54
Sortino,0.73,24.87
Smart Sortino,0.67,22.84
Sortino/√2,0.51,17.59
Smart Sortino/√2,0.47,16.15
Omega,1.1,3.53
,,
Max Drawdown,-11.75%,-0.19%
Longest DD Days,93,11
Volatility (ann.),21.56%,2.27%
R^2,0.04,0.04
Information Ratio,-0.0,-0.0
Calmar,1.26,91.18
Skew,-0.75,2.69
Kurtosis,3.09,7.4
,,
Expected Daily%,0.04%,0.04%
Expected Monthly%,0.91%,1.02%
Expected Yearly%,5.56%,6.3%
Daily Value-at-Risk,-1.81%,-0.15%
Expected Shortfall (cVaR),-2.66%,-0.19%
,,
MTD,1.16%,1.13%
3M,1.17%,3.97%
6M,5.56%,6.3%
YTD,5.56%,6.3%
1Y,5.56%,6.3%
3Y (ann.),14.81%,16.9%
5Y (ann.),14.81%,16.9%
10Y (ann.),14.81%,16.9%
All-time (ann.),14.81%,16.9%
,,
Best Day,3.71%,0.57%
Worst Day,-4.82%,-0.19%
Best Month,3.23%,1.86%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,6.3%
Worst Year,5.56%,6.3%
,,
Avg. Drawdown,-6.73%,-0.09%
Avg. Drawdown Days,42,8
Recovery Factor,0.54,33.05
Ulcer Index,0.05,0.0
Serenity Index,0.05,20.3
Annualized Return on Risk Capital,119.87%,"8,621.53%"
Worst 3-Month Return,-0.2%,2.24%
Time to Recovery (Days),72,10
5th Percentile Tail Loss,-2.24%,0.0%
Time Underwater (Days),127,30
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,1.3%
Avg. Down Month,-,-
Win Days,85.22,126.0
Loss Days,58.78,18.0
Win Days%,59.18%,87.5%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.02
Alpha,-,0.15
Correlation,-,20.89%
Treynor Ratio,-,86.22%
