time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 10:00:00-04:00,buy,fill,456.0,TSLA,stock,,0.0,,218.87600708007807,market,1,199.6149184570312,0.0,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,sell,fill,456.0,TSLA,stock,,0.0,,229.43499755859372,market,1,209.2447177734375,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,buy,fill,784.0,NVDA,stock,,0.0,,127.52999877929688,market,1,199.9670380859375,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,sell,fill,784.0,NVDA,stock,,0.0,,128.9600067138672,market,1,202.20929052734377,0.0,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,buy,fill,767.0,NVDA,stock,,0.0,,130.30999755859375,market,1,199.8955362548828,0.0,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,sell,fill,767.0,NVDA,stock,,0.0,,131.96499633789062,market,1,202.4343043823242,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,buy,fill,553.0,AMD,stock,,0.0,,180.7899932861328,market,1,199.9537325744629,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,buy,fill,535.0,AMD,stock,,0.0,,186.6999969482422,market,1,199.76899673461915,0.0,trade,,,,,,,,,,,,
2024-07-10 12:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-10 12:00:00-04:00,sell,fill,1088.0,AMD,stock,,0.0,,183.1300048828125,market,1,398.490890625,0.0,trade,,,,,,,,,,,,
2024-07-11 09:00:00-04:00,buy,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-11 09:00:00-04:00,buy,fill,548.0,AMD,stock,,0.0,,182.4600067138672,market,1,199.97616735839844,0.0,trade,,,,,,,,,,,,
2024-07-11 10:00:00-04:00,sell,new,,AMD,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-11 10:00:00-04:00,sell,fill,548.0,AMD,stock,,0.0,,184.1300048828125,market,1,201.8064853515625,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,buy,fill,390.0,TSLA,stock,,0.0,,255.96499633789065,market,1,199.65269714355472,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,sell,fill,390.0,TSLA,stock,,0.0,,264.1700134277344,market,1,206.05261047363283,0.0,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,buy,fill,409.0,TSLA,stock,,0.0,,244.2124938964844,market,1,199.76582000732424,0.0,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,buy,fill,830.0,NVDA,stock,,0.0,,120.3499984741211,market,1,199.78099746704103,0.0,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,sell,fill,409.0,TSLA,stock,,0.0,,246.44000244140625,market,1,201.5879219970703,0.0,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,sell,fill,830.0,NVDA,stock,,0.0,,122.86000061035156,market,1,203.9476010131836,0.0,trade,,,,,,,,,,,,
2024-07-29 10:00:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-29 10:00:00-04:00,buy,fill,444.0,TSLA,stock,,0.0,,224.9980010986328,market,1,199.79822497558592,0.0,trade,,,,,,,,,,,,
2024-07-29 11:00:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-07-29 11:00:00-04:00,sell,fill,444.0,TSLA,stock,,0.0,,232.47259521484372,market,1,206.4356645507812,0.0,trade,,,,,,,,,,,,
2024-08-01 10:00:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-01 10:00:00-04:00,buy,fill,191.0,META,stock,,0.0,,520.8800048828125,market,1,198.9761618652344,0.0,trade,,,,,,,,,,,,
2024-08-01 11:00:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-01 11:00:00-04:00,sell,fill,191.0,META,stock,,0.0,,513.1199951171875,market,1,196.0118381347656,0.0,trade,,,,,,,,,,,,
2024-08-12 10:00:00-04:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2024-08-12 10:00:00-04:00,buy,fill,929.0,NVDA,stock,,0.0,,107.5500030517578,market,1,199.827905670166,0.0,trade,,,,,,,,,,,,
