Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,45.0%
,,
Total Return,6%,9%
CAGR% (Annual Return),14.81%,24.24%
,,
Sharpe,0.54,6.57
RoMaD,1.26,48.75
Corr to Benchmark,1.0,0.15
Prob. Sharpe Ratio,47.57%,100.0%
Smart Sharpe,0.45,5.39
Sortino,0.73,23.43
Smart Sortino,0.6,19.23
Sortino/√2,0.51,16.57
Smart Sortino/√2,0.42,13.6
Omega,1.1,4.01
,,
Max Drawdown,-11.75%,-0.5%
Longest DD Days,93,12
Volatility (ann.),21.56%,2.63%
R^2,0.02,0.02
Information Ratio,0.01,0.01
Calmar,1.26,48.75
Skew,-0.75,1.8
Kurtosis,3.09,4.21
,,
Expected Daily%,0.04%,0.06%
Expected Monthly%,0.91%,1.43%
Expected Yearly%,5.56%,8.87%
Daily Value-at-Risk,-1.81%,-0.17%
Expected Shortfall (cVaR),-2.66%,-0.25%
,,
MTD,1.16%,1.46%
3M,1.17%,5.27%
6M,5.56%,8.87%
YTD,5.56%,8.87%
1Y,5.56%,8.87%
3Y (ann.),14.81%,24.24%
5Y (ann.),14.81%,24.24%
10Y (ann.),14.81%,24.24%
All-time (ann.),14.81%,24.24%
,,
Best Day,3.71%,0.71%
Worst Day,-4.82%,-0.26%
Best Month,3.23%,2.15%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,8.87%
Worst Year,5.56%,8.87%
,,
Avg. Drawdown,-6.73%,-0.11%
Avg. Drawdown Days,42,6
Recovery Factor,0.54,17.12
Ulcer Index,0.05,0.0
Serenity Index,0.05,13.51
Annualized Return on Risk Capital,119.87%,"4,520.88%"
Worst 3-Month Return,-0.2%,3.94%
Time to Recovery (Days),72,10
5th Percentile Tail Loss,-2.24%,-0.05%
Time Underwater (Days),127,56
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,1.87%
Avg. Down Month,-,-
Win Days,85.22,110.25
Loss Days,58.78,33.75
Win Days%,59.18%,76.56%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.02
Alpha,-,0.21
Correlation,-,14.87%
Treynor Ratio,-,246.24%
