time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 10:00:00-04:00,Strategy,,bt_1,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 10:00:00-04:00,Strategy,,bt_1,TSLA,buy,market,fill,218.87600708007807,456.0,1,499.037296142578,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,TSLA,sell,market,fill,229.43499755859372,456.0,1,523.1117944335937,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_3,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 10:00:00-04:00,Strategy,,bt_3,TSLA,buy,market,fill,235.5,424.0,1,499.26,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_4,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 11:00:00-04:00,Strategy,,bt_4,TSLA,sell,market,fill,244.57000732421875,424.0,1,518.4884155273437,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_5,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 10:00:00-04:00,Strategy,,bt_5,AMD,buy,market,fill,167.1927947998047,598.0,1,499.90645645141603,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_6,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-05 11:00:00-04:00,Strategy,,bt_6,AMD,sell,market,fill,170.0,598.0,1,508.3,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_8,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,fill,127.52999877929688,784.0,1,499.91759521484374,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_8,AMD,buy,market,fill,175.93820190429688,568.0,1,499.66449340820316,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_9,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_10,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_11,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_9,NVDA,sell,market,fill,128.9600067138672,784.0,1,505.52322631835943,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_10,AMD,sell,market,fill,175.18890380859375,568.0,1,497.53648681640624,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_11,TSLA,buy,market,fill,250.5,399.0,1,499.7475,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 12:00:00-04:00,Strategy,,bt_12,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 12:00:00-04:00,Strategy,,bt_12,TSLA,sell,market,fill,256.2948913574219,399.0,1,511.3083082580567,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,Strategy,,bt_13,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,Strategy,,bt_13,NVDA,buy,market,fill,130.30999755859375,767.0,1,499.73884063720703,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,Strategy,,bt_14,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,Strategy,,bt_14,NVDA,sell,market,fill,131.96499633789062,767.0,1,506.08576095581054,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_15,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_16,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_15,AMD,buy,market,fill,180.7899932861328,553.0,1,499.8843314361572,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_16,NVDA,buy,market,fill,133.4571075439453,749.0,1,499.7968677520752,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,Strategy,,bt_17,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,Strategy,,bt_18,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,Strategy,,bt_17,AMD,sell,market,fill,186.6999969482422,553.0,1,516.2254915618897,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 11:00:00-04:00,Strategy,,bt_18,NVDA,sell,market,fill,134.1199951171875,749.0,1,502.27938171386717,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 10:00:00-04:00,Strategy,,bt_19,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 10:00:00-04:00,Strategy,,bt_19,TSLA,buy,market,fill,235.72999572753903,424.0,1,499.74759094238277,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 11:00:00-04:00,Strategy,,bt_20,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-12 11:00:00-04:00,Strategy,,bt_20,TSLA,sell,market,fill,246.4600067138672,424.0,1,522.4952142333984,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,Strategy,,bt_21,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 10:00:00-04:00,Strategy,,bt_21,TSLA,buy,market,fill,255.96499633789065,390.0,1,499.13174285888675,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,Strategy,,bt_22,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-15 11:00:00-04:00,Strategy,,bt_22,TSLA,sell,market,fill,264.1700134277344,390.0,1,515.1315261840821,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,Strategy,,bt_23,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 10:00:00-04:00,Strategy,,bt_23,TSLA,buy,market,fill,251.8600006103516,397.0,1,499.94210121154794,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,Strategy,,bt_24,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-18 11:00:00-04:00,Strategy,,bt_24,TSLA,sell,market,fill,254.3999938964844,397.0,1,504.9839878845215,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 10:00:00-04:00,Strategy,,bt_25,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 10:00:00-04:00,Strategy,,bt_25,META,buy,market,fill,479.4299926757813,208.0,1,498.60719238281257,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 11:00:00-04:00,Strategy,,bt_26,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-19 11:00:00-04:00,Strategy,,bt_26,META,sell,market,fill,485.7900085449219,208.0,1,505.2216088867188,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_27,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_28,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_29,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_30,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_31,GOOGL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_27,AMD,buy,market,fill,154.32000732421875,627.0,1,483.7932229614258,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_28,NVDA,buy,market,fill,120.3499984741211,802.0,1,482.60349388122563,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_29,META,buy,market,fill,486.5,188.0,1,457.31,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_30,TSLA,buy,market,fill,244.2124938964844,372.0,1,454.23523864746096,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 10:00:00-04:00,Strategy,,bt_31,GOOGL,buy,market,fill,180.6300048828125,476.0,1,429.89941162109375,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_32,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_33,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_34,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_35,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_36,GOOGL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_32,AMD,sell,market,fill,155.1300048828125,627.0,1,486.3325653076172,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_33,NVDA,sell,market,fill,122.86000061035156,802.0,1,492.6686024475098,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_34,META,sell,market,fill,489.6950073242188,188.0,1,460.31330688476567,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_35,TSLA,sell,market,fill,246.44000244140625,372.0,1,458.37840454101564,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-22 11:00:00-04:00,Strategy,,bt_36,GOOGL,sell,market,fill,181.4499969482422,476.0,1,431.8509927368164,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-23 10:00:00-04:00,Strategy,,bt_37,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-23 10:00:00-04:00,Strategy,,bt_37,AMZN,buy,market,fill,184.0850067138672,543.0,1,499.7907932281494,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-23 11:00:00-04:00,Strategy,,bt_38,AMZN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-23 11:00:00-04:00,Strategy,,bt_38,AMZN,sell,market,fill,188.67999267578125,543.0,1,512.2661801147461,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-25 10:00:00-04:00,Strategy,,bt_39,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-25 10:00:00-04:00,Strategy,,bt_39,TSLA,buy,market,fill,216.7949981689453,461.0,1,499.71247077941894,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-25 11:00:00-04:00,Strategy,,bt_40,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-25 11:00:00-04:00,Strategy,,bt_40,TSLA,sell,market,fill,224.3600006103516,461.0,1,517.1498014068604,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-26 10:00:00-04:00,Strategy,,bt_41,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-26 10:00:00-04:00,Strategy,,bt_41,META,buy,market,fill,464.1950073242188,215.0,1,499.0096328735352,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-26 11:00:00-04:00,Strategy,,bt_42,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-26 11:00:00-04:00,Strategy,,bt_42,META,sell,market,fill,463.1579895019531,215.0,1,497.8948387145996,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-29 10:00:00-04:00,Strategy,,bt_43,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-29 10:00:00-04:00,Strategy,,bt_43,TSLA,buy,market,fill,224.9980010986328,444.0,1,499.49556243896484,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-29 11:00:00-04:00,Strategy,,bt_44,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-29 11:00:00-04:00,Strategy,,bt_44,TSLA,sell,market,fill,232.47259521484372,444.0,1,516.089161376953,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_45,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_46,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_47,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_48,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_49,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_45,NVDA,buy,market,fill,112.29900360107422,856.0,1,480.63973541259764,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_46,AMD,buy,market,fill,151.0,633.0,1,477.915,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_47,AAPL,buy,market,fill,221.52999877929688,427.0,1,472.96654739379886,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_48,META,buy,market,fill,470.8049926757813,195.0,1,459.03486785888674,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 10:00:00-04:00,Strategy,,bt_49,AMZN,buy,market,fill,185.2899932861328,461.0,1,427.0934345245361,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_50,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_51,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_52,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_53,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_54,AMZN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_50,NVDA,sell,market,fill,114.12999725341795,856.0,1,488.4763882446288,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_51,AMD,sell,market,fill,148.8300018310547,633.0,1,471.0469557952881,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_52,AAPL,sell,market,fill,222.83999633789065,427.0,1,475.7633921813965,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_53,META,sell,market,fill,473.8200073242188,195.0,1,461.97450714111335,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-31 11:00:00-04:00,Strategy,,bt_54,AMZN,sell,market,fill,186.80999755859372,461.0,1,430.5970443725585,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-01 10:00:00-04:00,Strategy,,bt_55,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-01 10:00:00-04:00,Strategy,,bt_55,META,buy,market,fill,520.8800048828125,191.0,1,497.4404046630859,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-01 11:00:00-04:00,Strategy,,bt_56,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-01 11:00:00-04:00,Strategy,,bt_56,META,sell,market,fill,513.1199951171875,191.0,1,490.02959533691404,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-02 10:00:00-04:00,Strategy,,bt_57,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-02 10:00:00-04:00,Strategy,,bt_57,AAPL,buy,market,fill,220.28939819335935,453.0,1,498.9554869079589,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-02 11:00:00-04:00,Strategy,,bt_58,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-02 11:00:00-04:00,Strategy,,bt_58,AAPL,sell,market,fill,222.6300048828125,453.0,1,504.2569610595703,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 11:00:00-04:00,Strategy,,bt_59,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 11:00:00-04:00,Strategy,,bt_59,AMD,buy,market,fill,132.02999877929688,757.0,1,499.7335453796387,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_60,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_60,AMD,sell,market,fill,135.77499389648438,757.0,1,513.9083518981934,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 10:00:00-04:00,Strategy,,bt_61,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 10:00:00-04:00,Strategy,,bt_61,META,buy,market,fill,479.0,208.0,1,498.16,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 11:00:00-04:00,Strategy,,bt_62,META,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 11:00:00-04:00,Strategy,,bt_62,META,sell,market,fill,490.1499938964844,208.0,1,509.75599365234376,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 12:00:00-04:00,Strategy,,bt_63,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-06 12:00:00-04:00,Strategy,,bt_63,TSLA,buy,market,fill,195.1499938964844,512.0,1,499.58398437500006,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
