Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,4.0%
,,
Total Return,6%,1%
CAGR% (Annual Return),14.81%,2.05%
,,
Sharpe,0.54,-3.61
RoMaD,1.26,-
Corr to Benchmark,1.0,-0.08
Prob. Sharpe Ratio,47.57%,99.94%
Smart Sharpe,0.47,-3.09
Sortino,0.73,-10.37
Smart Sortino,0.62,-8.88
Sortino/√2,0.51,-7.33
Smart Sortino/√2,0.44,-6.28
Omega,1.1,0.45
,,
Max Drawdown,-11.75%,-
Longest DD Days,-,-
Volatility (ann.),21.56%,0.64%
R^2,0.01,0.01
Information Ratio,-0.03,-0.03
Calmar,1.26,-
Skew,-0.75,6.78
Kurtosis,3.09,47.77
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,0.91%,0.13%
Expected Yearly%,5.56%,0.8%
Daily Value-at-Risk,-1.81%,-0.05%
Expected Shortfall (cVaR),-2.66%,-0.05%
,,
MTD,1.16%,0.24%
3M,1.17%,0.76%
6M,5.56%,0.8%
YTD,5.56%,0.8%
1Y,5.56%,0.8%
3Y (ann.),14.81%,2.05%
5Y (ann.),14.81%,2.05%
10Y (ann.),14.81%,2.05%
All-time (ann.),14.81%,2.05%
,,
Best Day,3.71%,0.27%
Worst Day,-4.82%,0.0%
Best Month,3.23%,0.38%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,0.8%
Worst Year,5.56%,0.8%
,,
Avg. Drawdown,-6.73%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.54,-
Ulcer Index,0.05,0.0
Serenity Index,0.05,-
Annualized Return on Risk Capital,119.87%,-
Worst 3-Month Return,-0.2%,0.04%
Time to Recovery (Days),72,0
5th Percentile Tail Loss,-2.24%,0.0%
Time Underwater (Days),127,0
Percent Positive Months,66.67,66.67
,,
Avg. Up Month,2.05%,0.14%
Avg. Down Month,-,-
Win Days,85.22,144.0
Loss Days,58.78,0.0
Win Days%,59.18%,100.0%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.0
Alpha,-,0.02
Correlation,-,-7.92%
Treynor Ratio,-,"1,542.81%"
