time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-03 12:00:00-04:00,Strategy,,bt_1,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_1,NVDA,buy,market,fill,126.04000091552734,793.0,1,299.84916217803953,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,Strategy,,bt_2,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 13:00:00-04:00,Strategy,,bt_2,NVDA,sell,market,fill,126.04000091552734,793.0,1,299.84916217803953,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 03:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 03:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,fill,106.04000091552734,943.0,1,299.98716259002686,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 04:00:00-04:00,Strategy,,bt_4,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 04:00:00-04:00,Strategy,,bt_4,NVDA,buy,market,fill,106.04000091552734,943.0,1,299.98716259002686,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 11:00:00-04:00,Strategy,,bt_5,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-04 11:00:00-04:00,Strategy,,bt_5,NVDA,sell,market,fill,106.04000091552734,1886.0,1,599.9743251800537,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 05:00:00-04:00,Strategy,,bt_6,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 05:00:00-04:00,Strategy,,bt_6,NVDA,buy,market,fill,106.04000091552734,943.0,1,299.98716259002686,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 06:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 06:00:00-04:00,Strategy,,bt_7,NVDA,buy,market,fill,106.04000091552734,943.0,1,299.98716259002686,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 10:00:00-04:00,Strategy,,bt_8,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 10:00:00-04:00,Strategy,,bt_8,NVDA,sell,market,fill,92.0,1886.0,1,520.536,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_9,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_10,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_9,AMD,buy,market,fill,135.77499389648438,736.0,1,299.7911865234375,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 12:00:00-04:00,Strategy,,bt_10,NVDA,buy,market,fill,100.625,993.0,1,299.761875,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,Strategy,,bt_11,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,Strategy,,bt_12,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,Strategy,,bt_11,AMD,sell,market,fill,139.06900024414062,736.0,1,307.0643525390625,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-08-05 13:00:00-04:00,Strategy,,bt_12,NVDA,sell,market,fill,103.16000366210938,993.0,1,307.31365090942387,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 10:00:00-04:00,Strategy,,bt_13,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 10:00:00-04:00,Strategy,,bt_13,NVDA,buy,market,fill,116.875,855.0,1,299.784375,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 11:00:00-04:00,Strategy,,bt_14,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 11:00:00-04:00,Strategy,,bt_14,NVDA,buy,market,fill,119.60009765625,836.0,1,299.957044921875,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 12:00:00-04:00,Strategy,,bt_15,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-09-12 12:00:00-04:00,Strategy,,bt_15,NVDA,sell,market,fill,118.6750030517578,1691.0,1,602.0382904815673,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
