time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 11:00:00-04:00,Strategy,,bt_1,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_1,AAPL,buy,market,fill,218.7100067138672,457.0,1,299.85141920471193,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,Strategy,,bt_2,AAPL,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 12:00:00-04:00,Strategy,,bt_2,AAPL,sell,market,fill,219.52999877929688,457.0,1,300.97562832641603,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_3,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_4,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_3,AMZN,buy,market,fill,199.4250030517578,501.0,1,299.735779586792,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 14:00:00-04:00,Strategy,,bt_4,AMD,buy,market,fill,160.75999450683594,622.0,1,299.97814974975586,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_5,AMZN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_6,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_5,AMZN,sell,market,fill,200.13999938964844,501.0,1,300.8104190826416,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 15:00:00-04:00,Strategy,,bt_6,AMD,buy,market,fill,162.31199645996094,616.0,1,299.9525694580078,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_7,AMD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 16:00:00-04:00,Strategy,,bt_7,AMD,sell,market,fill,163.91000366210938,1238.0,1,608.7617536010742,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-03 12:00:00-04:00,Strategy,,bt_8,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
