Metric,AAPL,Strategy
Risk-Free Rate,4.5%,4.5%
Time in Market,69.0%,76.0%
,,
Total Return,5%,-7%
CAGR% (Annual Return),22.91%,-25.43%
,,
Sharpe,0.83,-6.4
RoMaD,1.95,-3.28
Corr to Benchmark,1.0,0.21
Prob. Sharpe Ratio,53.13%,0.0%
Smart Sharpe,0.64,-4.98
Sortino,1.1,-6.52
Smart Sortino,0.85,-5.08
Sortino/√2,0.78,-4.61
Smart Sortino/√2,0.6,-3.59
Omega,1.16,0.27
,,
Max Drawdown,-11.75%,-7.75%
Longest DD Days,74,77
Volatility (ann.),22.4%,5.19%
R^2,0.04,0.04
Information Ratio,-0.12,-0.12
Calmar,1.95,-3.28
Skew,-0.94,-2.28
Kurtosis,4.07,9.73
,,
Expected Daily%,0.06%,-0.08%
Expected Monthly%,1.28%,-1.79%
Expected Yearly%,5.21%,-6.98%
Daily Value-at-Risk,-1.87%,-0.53%
Expected Shortfall (cVaR),-2.87%,-0.96%
,,
MTD,-0.53%,-2.18%
3M,5.21%,-6.98%
6M,5.21%,-6.98%
YTD,5.21%,-6.98%
1Y,5.21%,-6.98%
3Y (ann.),22.91%,-25.43%
5Y (ann.),22.91%,-25.43%
10Y (ann.),22.91%,-25.43%
All-time (ann.),22.91%,-25.43%
,,
Best Day,3.71%,0.63%
Worst Day,-4.82%,-1.49%
Best Month,3.23%,0.0%
Worst 1-Month Return,-0.53%,-3.23%
Best Year,5.21%,-6.98%
Worst Year,5.21%,-6.98%
,,
Avg. Drawdown,-7.04%,-2.03%
Avg. Drawdown Days,39,20
Recovery Factor,0.49,0.93
Ulcer Index,0.05,0.05
Serenity Index,0.03,-0.08
Annualized Return on Risk Capital,177.98%,-361.09%
Worst 3-Month Return,5.21%,-6.98%
Time to Recovery (Days),53,19
5th Percentile Tail Loss,-2.43%,-0.54%
Time Underwater (Days),78,82
Percent Positive Months,50.0,0.0
,,
Avg. Up Month,-,-
Avg. Down Month,-0.53%,-2.18%
Win Days,57.24,25.06
Loss Days,33.76,65.94
Win Days%,62.9%,27.54%
Win Month%,66.67%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.05
Alpha,-,-0.3
Correlation,-,20.97%
Treynor Ratio,-,-235.88%
