Metric,AAPL,Strategy
Risk-Free Rate,4.41%,4.41%
Time in Market,69.0%,73.0%
,,
Total Return,6%,12%
CAGR% (Annual Return),14.81%,33.47%
,,
Sharpe,0.54,3.13
RoMaD,1.26,12.05
Corr to Benchmark,1.0,0.31
Prob. Sharpe Ratio,47.57%,95.89%
Smart Sharpe,0.47,2.72
Sortino,0.73,5.54
Smart Sortino,0.63,4.82
Sortino/√2,0.51,3.92
Smart Sortino/√2,0.45,3.41
Omega,1.1,2.18
,,
Max Drawdown,-11.75%,-2.78%
Longest DD Days,93,27
Volatility (ann.),21.56%,7.88%
R^2,0.1,0.1
Information Ratio,0.03,0.03
Calmar,1.26,12.05
Skew,-0.75,0.68
Kurtosis,3.09,19.47
,,
Expected Daily%,0.04%,0.08%
Expected Monthly%,0.91%,1.9%
Expected Yearly%,5.56%,11.97%
Daily Value-at-Risk,-1.81%,-0.6%
Expected Shortfall (cVaR),-2.66%,-1.3%
,,
MTD,1.16%,4.25%
3M,1.17%,8.85%
6M,5.56%,11.97%
YTD,5.56%,11.97%
1Y,5.56%,11.97%
3Y (ann.),14.81%,33.47%
5Y (ann.),14.81%,33.47%
10Y (ann.),14.81%,33.47%
All-time (ann.),14.81%,33.47%
,,
Best Day,3.71%,2.49%
Worst Day,-4.82%,-2.44%
Best Month,3.23%,4.25%
Worst 1-Month Return,-3.04%,0.0%
Best Year,5.56%,11.97%
Worst Year,5.56%,11.97%
,,
Avg. Drawdown,-6.73%,-0.45%
Avg. Drawdown Days,42,7
Recovery Factor,0.54,4.11
Ulcer Index,0.05,0.01
Serenity Index,0.05,1.58
Annualized Return on Risk Capital,119.87%,"1,092.11%"
Worst 3-Month Return,-0.2%,3.27%
Time to Recovery (Days),72,5
5th Percentile Tail Loss,-2.24%,-0.21%
Time Underwater (Days),127,100
Percent Positive Months,66.67,83.33
,,
Avg. Up Month,2.15%,2.75%
Avg. Down Month,-,-
Win Days,85.22,78.92
Loss Days,58.78,65.08
Win Days%,59.18%,54.81%
Win Month%,80.0%,100.0%
Win Quarter%,50.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.11
Alpha,-,0.27
Correlation,-,30.89%
Treynor Ratio,-,66.89%
